resource_id,standard_code,matched_status,page,needs_review,review_reason,confidence,grounded,evidence,rationale,standard_raw_text,judge_model,prompt_version,escalated,coverage_pass,grounding_note,input_scope_caveat
G1M2U1L6,1.L.V.1.b,partial,99,False,,high,True,"'Discuss with a partner what the boy and sun are doing using the frame: In the end, the boy is _____. The sun is _____.'
(sleeping; gone or set)","The lesson directs students to use text vocabulary in their own speech through sentence frames and partner discussion. For example, students are told to ""Discuss with a partner what the boy and sun are doing using the frame: In the end, the boy is _____. The sun is _____."" and to use the sentence stem ""When the sun is setting (the sun/the boy/I) _________."" — deploying words like ""setting,"" ""overhead,"" and story-specific language to communicate. However, the vocabulary deployment is thin (scaffolded frames rather than open communicative use) and occurs primarily in one setting type (oral partner talk). The written response sheet asks students to write and draw about ending events but is a retell task, not a deliberate vocabulary-communication task. Because the ""variety of settings"" requirement (≥2 distinct settings of genuine vocabulary deployment) is not clearly met, the standard is partially met.","Use grade-level general, academic, and specialized vocabulary words and phrases to communicate in a variety of settings. (C)",claude-opus-4-6,align_judge.assembled.v1,True,False,evidence quote found in lesson raw text,
G1M2U1L6,1.P.EICC.3.g,partial,99,False,,high,True,'What two words do you see in overhead? What do you think overhead means? Point to something overhead.' (over + head; up above our heads),"Two of the three clauses are partially met through the ELL Mini Language Dive, where students are asked to determine the meaning of ""overhead"" by identifying its component word parts (""over + head"") and using the surrounding verse context (""stars overhead"") to infer meaning. The student-directed questions ""'What two words do you see in overhead? What do you think overhead means?'"" elicit the student's own word-part analysis and context-based reasoning. However, this activity appears only in the optional ELL support section, not the core lesson path, capping those clauses at partially met. The academic-vocabulary clause is not met: no activity has students apply knowledge of academic vocabulary to unlock unfamiliar words. The core lesson's only vocabulary moment — defining ""setting"" (moving down) — is teacher-declared, not student-determined.",Determine the meanings of unfamiliar words and concepts by applying knowledge of context and of academic vocabulary and word parts. (I),claude-opus-4-6,align_judge.assembled.v1,True,False,evidence quote found in lesson raw text,
G1M2U1L6,1.P.EICC.1.c,partial,102,False,,high,True,Invite students to show a thumbs-up or touch their head if they are ready to begin writing and drawing about the events from the ending of Summer Sun Risin'.,"The standard requires students to select, read, and write texts of personal interest and academic relevance. The lesson has students complete a response sheet by writing and drawing about the ending events of Summer Sun Risin' (""Invite students to show a thumbs-up or touch their head if they are ready to begin writing and drawing about the events from the ending of Summer Sun Risin'""), which partially meets the write clause — students produce writing, but it is a teacher-directed response to a teacher-selected text rather than a text the student chose out of personal interest or academic relevance. The select clause is not met because the teacher chooses the text (Summer Sun Risin') and students have no opportunity to select texts themselves. The read clause is not met because the lesson is a teacher-led close read-aloud; students do not independently read a text they selected.","Select, read, and write texts of personal interest and academic relevance to grade-level texts and topics. (I/C)",claude-opus-4-6,align_judge.assembled.v1,True,False,evidence quote found in lesson raw text,
G1M2U1L6,1.L.V.3.a,full,99,False,,high,True,'What two words do you see in overhead? What do you think overhead means? Point to something overhead.' (over + head; up above our heads),"Work Time A Mini Language Dive has students use context to determine word meanings. Within-sentence context: students respond to 'What does the word by mean in this chunk?' (next to) and 'What is the sun doing?' (It is gone because it is night time). Beyond-sentence context: students respond to 'What two words do you see in overhead? What do you think overhead means? Point to something overhead.' (over + head; up above our heads), using the verse context (stars overhead) and word-part analysis. Both clauses met. Full.",Use context within and beyond a sentence to determine or clarify the meaning of unknown and multiple-meaning words and phrases. (I),claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,evidence quote found in lesson raw text,
G1M2U1L6,1.P.CP.1.d,partial,99,False,,high,True,"'Think back to what the boy and sun were doing at the beginning and middle of the story. With your partner, discuss why you think the sun will be at one corner of the page at the end of the story. What have you learned from the story so far that makes you think this might be the case?'","The standard decomposes into four clauses joined by commas (an AND list): discuss topics, investigate questions, solve problems, and explore and create texts. Three of four are met. Students discuss topics collaboratively via Think-Pair-Share (""What does the boy experience when the sun is setting?"" — partner discussion). Students investigate a question with a partner (""With your partner, discuss why you think the sun will be at one corner of the page at the end of the story. What have you learned from the story so far that makes you think this might be the case?""). Students explore texts collaboratively through the Role-Play protocol in pairs (""Invite students to begin the Role-Play protocol for the following sections of text: Pages 21-22, Pages 23-24, Pages 25-26""). However, no activity has students work with others to solve problems — the lesson contains no problem-solving task. This unmet clause makes the alignment partial.","Work with others to discuss topics, investigate questions, solve problems, and explore and create texts. (I/C)",claude-opus-4-6,align_judge.assembled.v1,True,False,evidence quote found in lesson raw text,
G1M2U1L6,1.P.ST.1.a,partial,99,False,,high,True,"Think back to what the boy and sun were doing at the beginning and middle of the story. With your partner, discuss why you think the sun will be at one corner of the page at the end of the story. What have you learned from the story so far that makes you think this might be the case?","The lesson partially meets 1.P.ST.1.a. For the prior-knowledge clause, students are directed to ""Think back to what the boy and sun were doing at the beginning and middle of the story … What have you learned from the story so far that makes you think this might be the case?"" — activating prior knowledge to reason about context, though scoped narrowly to story-internal knowledge rather than broader contextual components. For the discussion clause, students discuss with partners (""Discuss with a partner what the boy and sun are doing using the frame: In the end, the boy is _____. The sun is _____.""), but these discussions center on retelling events rather than explicitly identifying key contextual components. The formal/informal research clause is not met — no research activity appears in the lesson.","Use prior knowledge, formal or informal research, and discussions with others to identify the key components of context that are most relevant. (I/C)",claude-opus-4-6,align_judge.assembled.v1,True,False,evidence quote found in lesson raw text,
G1M2U1L6,1.T.T.1.a,partial,99,False,,high,True,"Discuss with a partner what the boy and sun are doing using the frame: In the end, the boy is _____. The sun is _____.","The standard requires students to identify four story-crafting techniques: characters, setting, major events, and dialogue. Characters: students identify and discuss the boy and the sun as characters (""Discuss with a partner what the boy and sun are doing using the frame: In the end, the boy is _____. The sun is _____.""). Major events: students act out ending events via the Role-Play protocol for pages 21–26 and complete a response sheet writing/drawing about ending events (""At the end …""). Setting is only partially addressed — students answer time/place questions (""Where is the sun at sunset?"") but the teacher supplies most of the explicit setting identification, and the lesson never frames setting as a story technique for students to identify. Dialogue is not addressed: no activity asks students to identify or discuss dialogue as a technique used in the story. Because two clauses are met, one is partially met, and one is not met, the alignment is partial.","Identify techniques used to craft stories, including characters, setting, major events, and dialogue. (I)",claude-opus-4-6,align_judge.assembled.v1,True,False,evidence quote found in lesson raw text,scored on provided lesson text; likely understated pending the Read-aloud Guides.
G1M2U1L6,1.T.RA.2.a,partial,99,False,,high,True,"'Think back to what the boy and sun were doing at the beginning and middle of the story. With your partner, discuss why you think the sun will be at one corner of the page at the end of the story. What have you learned from the story so far that makes you think this might be the case?'","The standard requires students to refer to parts of texts when supporting an idea, answer, or opinion. One directive in Work Time A asks students to discuss ""why you think the sun will be at one corner of the page at the end of the story. What have you learned from the story so far that makes you think this might be the case?"" — this directs students to draw on specific parts of the text to support their prediction/idea. However, the lesson's primary focus is describing ending events and role-playing, and the remaining discussion prompts (e.g., ""What does the boy experience when the sun is setting?"") ask for answers without explicitly requiring students to cite or point to specific text parts as evidence. Because the text-referencing act appears only in one thin prompt rather than as a sustained or focal instructional activity, the clause is partially met.","Refer to parts of texts when supporting an idea, answer, or opinion. (I)",claude-opus-4-6,align_judge.assembled.v1,True,False,evidence quote found in lesson raw text,scored on provided lesson text; likely understated pending the Read-aloud Guides.
G1M2U1L6,1.P.EICC.3.e,partial,99,False,,high,True,'What time of day do you think the end of the story takes place?' (at the end of the day) 'Where do you think the sun will be at the end of the story?' (at one corner of the page),"The make-predictions clause is partially met: before the close read-aloud of pages 21–26, students are invited to turn and talk to predict ""What time of day do you think the end of the story takes place?"" and ""Where do you think the sun will be at the end of the story?"" — these are forward-looking guesses about what comes next, and students respond with predictions (""at the end of the day""; ""at one corner of the page""). However, the predictions are narrow (two teacher-posed prediction questions on a single pre-reading turn-and-talk) rather than a substantive, instructionally-intended prediction activity, so the clause is partially met. The track-predictions clause is not met: there is no moment in the lesson where students return to their predictions during or after reading to confirm, revise, or track them against what actually happened in the text.",Make and track predictions about the events and information likely to come next. (I),claude-opus-4-6,align_judge.assembled.v1,True,False,evidence quote found in lesson raw text,scored on provided lesson text; likely understated pending the Read-aloud Guides.
G1M2U1L6,1.P.EICC.3.f,partial,99,True,partial-or-full — make/track/support compound: make is evidenced via the inference prompt; support is thinly evidenced by the 'what makes you think this' follow-up; track is absent.,low,True,"'Think back to what the boy and sun were doing at the beginning and middle of the story. With your partner, discuss why you think the sun will be at one corner of the page at the end of the story. What have you learned from the story so far that makes you think this might be the case?'","⚑ REVIEW: partial-or-full — The make-inferences clause is partially met: students are directed to infer why the sun will be at one corner of the page at the end of the story (""With your partner, discuss why you think the sun will be at one corner of the page at the end of the story. What have you learned from the story so far that makes you think this might be the case?""), but this targets a single inference rather than different levels of meaning. The support clause is thinly met by the follow-up asking students to draw on what they have learned from the story, though no explicit text-referencing act is required. The track-inferences clause (monitoring and adjusting inferences across the reading) is not met — there is no activity in which students revisit, confirm, or revise inferences during reading. Overall: partial, with the tracking sub-act absent and the make/support sub-acts only thinly evidenced.","Make, track, and support inferences about different levels of meaning within the text. (I)",claude-opus-4-6,align_judge.assembled.v1,True,False,evidence quote found in lesson raw text,scored on provided lesson text; likely understated pending the Read-aloud Guides.
