gold_id,resource_id,standard_code,gold_status,judge_status,exact_match,binary_class,in_top25,retrieve_rank,grounded,confidence,escalated,judge_model,prompt_version,evidence,rationale
GA1-M2-016,G1M2U1L1,1.L.V.1.a,full,full,yes,TP,yes,7,True,high,False,claude-sonnet-4-5,align_judge.batch.v1.1,'I noticed that the sun __________.',Students acquire vocabulary through grade-level texts (read-aloud and videos) and apply it in appropriate contexts during protocols and discussions. Both clauses are met in core instructional steps.
GA1-M2-021,G1M2U1L1,1.P.CP.1.c,partial,partial,yes,TP,yes,15,True,high,True,claude-opus-4-6,align_judge.v1.1,'Who can repeat what your classmate said?' (Responses will vary.),"The standard requires three independent verbs: offering ideas, listening, and providing feedback. Students clearly offer ideas (via sentence frames in multiple protocols) and listen (explicitly directed to listen and asked to repeat classmates' words). However, no step asks students to provide feedback on others' ideas—repeating what someone said demonstrates listening, not providing feedback. Since one independent verb is unmet, the status is partial."
GA1-M2-001;GA1-M2-002,G1M2U1L1,1.P.CP.2.a,full,full,yes,TP,yes,12,True,high,False,claude-sonnet-4-5,align_judge.batch.v1.1,'I noticed that the sun __________.',"Students communicate clearly to present ideas, information, and texts throughout the lesson during protocols, discussions, and when sharing their response sheets. All three clauses are met in core instructional steps."
GA1-M2-004,G1M2U1L1,1.P.CP.2.d,partial,partial,yes,TP,yes,6,True,medium,True,claude-opus-4-6,align_judge.v1.1,'One thing I wonder about the moon/stars is ____________.',"Students engage in dialogue with peers during the Picture Tea Party and Back-to-Back and Face-to-Face protocols. They answer questions posed by the teacher and share observations. They also generate their own wonderings using the ""I wonder"" sentence frame, which they share with partners during dialogue. However, the ""ask"" component is somewhat indirect — students share wonderings rather than directly asking questions of their audience/partner. The ""I wonder"" frame shared during the Back-to-Back and Face-to-Face protocol does constitute student-generated questions shared during dialogue, but the dialogic exchange is more about sharing notices and wonders than a true back-and-forth of asking and answering questions between students. Additionally, the scaffold step for ELLs explicitly models questions like ""Can you please repeat what you said?"" but this is scaffold-only. On balance, the ""ask"" clause is met but thinly — students do generate and share wonder-questions with partners. All three clauses appear met, warranting full. Let me reconsider: students share ""I wonder"" statements with partners during the protocol, which counts as asking questions during dialogue. Students answer teacher questions. Students engage in dialogue. All clauses are met in core steps."
GA1-M2-007,G1M2U1L1,1.P.EICC.3.e,partial,partial,yes,TP,yes,18,True,high,True,claude-opus-4-6,align_judge.v1.1,"'Based on the title of the story, what do you think this story will be about?' (a little boy who likes things in the sky; a little boy who likes the clouds; a little boy who likes to look at the sky)","Students make a prediction about the story based on its title, satisfying the ""make predictions"" clause. However, there is no instructional step where students track, revisit, confirm, or revise their predictions as reading progresses. Since ""make"" and ""track"" are independent verbs that must both be met for full alignment, the result is partial."
GA1-M2-009,G1M2U1L1,1.P.EICC.4.c,full,full,yes,TP,yes,2,True,high,False,claude-sonnet-4-5,align_judge.batch.v1.1,"Invite students to use the response sheet to capture the things they noticed and wondered about the sun, moon, and stars. Tell them that they can use pictures and words to show what they notice and what they wonder.","Students generate ideas for their independent writing by assessing prior knowledge (their own observations), gathering information from texts (read-aloud and videos), and engaging in discussions (Picture Tea Party and Back-to-Back protocols). All three clauses are met in core instructional steps."
GA1-M2-010,G1M2U1L1,1.P.EICC.4.e,none,ABSENT,no,ABSENT_NONE,no,,,,,,,,
GA1-M2-005;GA1-M2-006,G1M2U1L1,1.T.RA.1.a,full,full,yes,TP,yes,13,True,high,False,claude-sonnet-4-5,align_judge.batch.v1.1,'One thing I wonder about the moon/stars is ____________.',"Students ask questions about topics of interest (sun, moon, and stars) using 'I wonder' sentence frames during protocols and independent writing. The single clause is met in core instructional steps."
GA1-M2-017,G1M2U1L3,1.L.V.1.b,none,none,yes,TN,yes,1,True,high,False,claude-sonnet-4-5,align_judge.batch.v1.1,,"Students recite fixed song lyrics and answer teacher-posed questions. The standard requires students to USE vocabulary to communicate, meaning they must select and apply words in their own speech or writing. Reciting a song or answering questions does not meet this requirement."
GA1-M2-003,G1M2U1L3,1.P.CP.2.d,partial,partial,yes,TP,yes,15,True,high,True,claude-opus-4-6,align_judge.v1.1,'Who is the main character?' (the boy),"Students answer multiple teacher-posed questions throughout the lesson, satisfying the ""answer questions"" clause. However, no instructional step directs students to generate their own questions; all questions originate from the teacher. Since ""ask"" and ""answer"" are independent verbs that must both be met for full alignment, and only ""answer"" is met, the status is partial."
GA1-M2-011,G1M2U1L3,1.P.EICC.4.e,none,ABSENT,no,ABSENT_NONE,no,,,,,,,,
GA1-M2-024,G1M2U1L3,1.T.SS.2.a,partial,partial,yes,TP,yes,10,True,medium,True,claude-opus-4-6,align_judge.v1.1,"For ELLs: Before singing the 'Sun, Moon, and Stars' song, reread the lyrics aloud and invite students to listen carefully for words that describe the sun and to give a silent signal when they hear one. Invite students to underline the words that they identify.","The only activity where students identify descriptive words occurs on a scaffold step (ELL support on p.67). No core step asks students to identify descriptive words, and no step at all asks students to explain the use of descriptive words. Since one clause is partially addressed only in a scaffold step and the other clause is entirely unmet, the overall match is partial (scaffold-only evidence for identify, no evidence for explain)."
GA1-M2-012,G1M2U1L3,1.T.T.1.a,partial,partial,yes,TP,yes,4,True,high,True,claude-opus-4-6,align_judge.v1.1,'Who is the main character?' (the boy),"Students identify characters and setting through turn-and-talk and by completing a response sheet with writing and drawing. However, students do not identify major events or dialogue in this lesson. Since the standard requires all four story-craft components (characters, setting, major events, and dialogue) and only two are met, the match is partial."
GA1-M2-015,G1M2U1L3,1.T.T.1.e,none,ABSENT,no,ABSENT_NONE,no,32,,,,,,,
