Lesson,Lesson ID,Standard,Alignment,Confidence,Evidence from the lesson,Page,Why this alignment,Standard text
"Grade 1 Module 2, Unit 1, Lesson 1",G1M2U1L1,1.L.V.1.b,Partial,Medium,'-'I noticed that the sun __________.',48,"Students use general vocabulary (sun, moon, stars) in sentence frames to communicate their observations and wonders with partners and in writing. However, academic vocabulary like ""observe"" and ""prediction"" is only teacher-defined/reviewed, not clearly used by students in their own communication. The standard requires students to USE vocabulary to communicate, and while general vocabulary use is evident, academic and specialized vocabulary use by students is not demonstrated. Since the standard treats general/academic/specialized as interchangeable (object list with same verb ""use""), meeting any one satisfies the clause. Students do use general vocabulary words (sun, moon, stars) in sentence frames to communicate observations. This meets the standard.","Use grade-level general, academic, and specialized vocabulary words and phrases to communicate in a variety of settings. (C)"
"Grade 1 Module 2, Unit 1, Lesson 1",G1M2U1L1,1.P.EICC.4.c,Full,High,"Invite students to use the response sheet to capture the things they noticed and wondered about the sun, moon, and stars. Tell them that they can use pictures and words to show what they notice and what they wonder.",49,"Students generate ideas for their independent writing by assessing prior knowledge (their own observations), gathering information from texts (read-aloud and videos), and engaging in discussions (Picture Tea Party and Back-to-Back protocols). All three clauses are met in core instructional steps.","Generate ideas for content by assessing prior knowledge, gathering information from texts, and engaging in discussions with others. (C)"
"Grade 1 Module 2, Unit 1, Lesson 1",G1M2U1L1,1.P.EICC.2.b,Partial,Medium,'What is one thing you noticed about the sun in the video?',48,"The standard lists four purposes for using texts: build knowledge, develop skills, make informed decisions, and share information and ideas. These are an object list with the same verb (""use texts to...""), so any one met would satisfy the clause. Students clearly use texts (read-aloud, photos, videos) to build knowledge about the sun, moon, and stars, and they share information and ideas based on those texts. Since this is an object list with the same verb, meeting any one purpose satisfies the standard. However, re-reading the skill_clauses and the standard more carefully — the standard says ""build knowledge, develop skills, make informed decisions, and share information and ideas"" — these could be read as interchangeable targets under the same verb ""make use of texts to."" Under the object-list rule (same verb, interchangeable targets), any one = clause met, which would make this full. But let me reconsider: students do use texts to build knowledge and share information/ideas, which satisfies the interchangeable object list. This should be full.","Make use of texts to build knowledge, develop skills, make informed decisions, and share information and ideas. (I/C)"
"Grade 1 Module 2, Unit 1, Lesson 1",G1M2U1L1,1.P.EICC.1.c,None,High,,,"The standard requires students to select, read, and write texts. In this lesson, the teacher selects and reads the text aloud. Students write observations and questions on a response sheet, but this does not constitute writing complete texts of personal interest and academic relevance. None of the three independent verbs are met.","Select, read, and write texts of personal interest and academic relevance to grade-level texts and topics. (I/C)"
"Grade 1 Module 2, Unit 1, Lesson 1",G1M2U1L1,1.P.CP.1.d,Full,High,Guide students through the protocol using the following question and sentence frame:,48,"The standard requires students to work with others to discuss topics, investigate questions, solve problems, and/or explore and create texts. These are interchangeable targets under the same verb ""work with others."" The lesson features multiple collaborative protocols (Picture Tea Party in small groups, Back-to-Back and Face-to-Face with partners) where students discuss their observations and questions about the sun, moon, and stars. Students also collaboratively share wonderings and contribute to a shared Noticing and Wondering anchor chart. The collaborative discussion of topics is clearly met in core steps.","Work with others to discuss topics, investigate questions, solve problems, and explore and create texts. (I/C)"
"Grade 1 Module 2, Unit 1, Lesson 1",G1M2U1L1,1.P.CP.2.d,Partial,Medium,'One thing I wonder about the moon/stars is ____________.',48,"Students engage in dialogue with peers during the Picture Tea Party and Back-to-Back and Face-to-Face protocols. They answer questions posed by the teacher and share observations. They also generate their own wonderings using the ""I wonder"" sentence frame, which they share with partners during dialogue. However, the ""ask"" component is somewhat indirect — students share wonderings rather than directly asking questions of their audience/partner. The ""I wonder"" frame shared during the Back-to-Back and Face-to-Face protocol does constitute student-generated questions shared during dialogue, but the dialogic exchange is more about sharing notices and wonders than a true back-and-forth of asking and answering questions between students. Additionally, the scaffold step for ELLs explicitly models questions like ""Can you please repeat what you said?"" but this is scaffold-only. On balance, the ""ask"" clause is met but thinly — students do generate and share wonder-questions with partners. All three clauses appear met, warranting full. Let me reconsider: students share ""I wonder"" statements with partners during the protocol, which counts as asking questions during dialogue. Students answer teacher questions. Students engage in dialogue. All clauses are met in core steps.",Engage in dialogue with audiences by asking and answering questions. (I/C)
"Grade 1 Module 2, Unit 1, Lesson 1",G1M2U1L1,1.L.V.1.a,Full,High,'I noticed that the sun __________.',48,Students acquire vocabulary through grade-level texts (read-aloud and videos) and apply it in appropriate contexts during protocols and discussions. Both clauses are met in core instructional steps.,"Acquire and apply general, academic, and specialized vocabulary words and phrases through grade-level texts and content. (I)"
"Grade 1 Module 2, Unit 1, Lesson 1",G1M2U1L1,1.L.V.3.d,None,High,,,"The standard requires students to use a picture dictionary or digital resource to clarify unknown words. While the teacher introduces vocabulary with Word Wall cards and definitions, students do not use a picture dictionary or digital resource themselves. Neither clause is met.","With teacher support, use a picture dictionary or digital resource to clarify the meaning of unknown words and phrases. (I)"
"Grade 1 Module 2, Unit 1, Lesson 1",G1M2U1L1,1.P.ST.1.a,Partial,Medium,"'Based on the title of the story, what do you think this story will be about?' (a little boy who likes things in the sky; a little boy who likes the clouds; a little boy who likes to look at the sky)",44,"Students activate prior knowledge when making predictions about the story based on its title and when sharing personal connections. They also discuss observations with peers in structured protocols. However, there is no formal or informal research component in the lesson. Since one of the three independent clauses (research) is unmet, the match is partial.","Use prior knowledge, formal or informal research, and discussions with others to identify the key components of context that are most relevant. (I/C)"
"Grade 1 Module 2, Unit 1, Lesson 1",G1M2U1L1,1.T.T.2.b,None,High,,,"The standard requires students to describe connections between two individuals, events, ideas, or pieces of information in a text. Students answer questions about what Elvin observes and wonders, but they do not describe connections between two elements. None of the clauses are met.","Describe the connection between two individuals, events, ideas, or pieces of information in a text. (I)"
