resource_id,standard_code,matched_status,page,needs_review,review_reason,confidence,grounded,evidence,rationale,standard_raw_text,judge_model,prompt_version,escalated,coverage_pass,grounding_note,input_scope_caveat
G1M2U3L5,1.T.T.4.a,none,,False,,high,True,,alignment=none,"Identify and describe poetic techniques used to craft texts, including rhyme, alliteration, and repeated lines. (I)",claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,no evidence required for none,
G1M2U3L5,1.T.T.1.e,none,,False,,high,True,,alignment=none,"Use knowledge of narrative techniques (e.g., characters, settings, events) to create texts that share real or imagined experiences and events with a sense of closure. (C)",claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,no evidence required for none,
G1M2U3L5,1.P.CP.2.e,none,,False,,high,True,,alignment=none,Build background knowledge by reciting all or part of significant poems and speeches as appropriate by grade level. (I/C),claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,no evidence required for none,
G1M2U3L5,1.T.T.3.a,none,,False,,high,True,,alignment=none,"Identify techniques used to craft opinion texts, including the author’s opinion and supporting reasons. (I)",claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,no evidence required for none,
G1M2U3L5,1.P.EICC.4.e,full,390,False,,high,True,Tell students that now they will write their own version of verse 3 and the closing independently on the 'What the Moon Sees' poem verse 3.,"In Work Time B, students construct an initial draft by writing their own version of verse 3 and the closing independently. The directive 'Tell students that now they will write their own version of verse 3 and the closing independently' shows students integrating ideas from their planner into a draft. Students select words, phrases, and sentences by referring to anchor charts (Adjectives, Time of Night) and the Word Wall. They incorporate craft techniques by modeling the structure of verses 1 and 2 and using descriptive language. The draft achieves its purpose as a poem verse with closure ('It should tell the reader that night is coming to an end').","Construct an initial draft by integrating ideas and information; selecting words, phrases, and sentences; and incorporating craft techniques that will best achieve the purpose of the text and resonate with the target audience. (C)",claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,evidence quote found in lesson raw text,
G1M2U3L5,1.T.SS.2.b,full,389,False,,high,True,"As students write, circulate and provide guidance by referring students to look at verses 1 and 2, the Time of Night anchor chart, the Adjectives anchor chart, the Sun, Moon, and Stars Word Wall, etc.","Students use descriptive words to craft engaging texts in Work Time A-B. The directive to refer students to 'the Adjectives anchor chart' while writing verse 3 shows students using descriptive words. Students craft texts that engage readers by writing their own version of verse 3 of 'What the Moon Sees' poem, a creative text designed to engage an audience.",Use descriptive words to craft engaging texts. (C),claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,evidence quote found in lesson raw text,
G1M2U3L5,1.P.AC.2.b,partial,389,False,,high,True,'How can you say that night is ending in different ways?' (Night ends; The moon sets; Night is done; etc.),"The lesson has students make word and phrase choices when planning and independently writing verse 3 of ""What the Moon Sees,"" including brainstorming alternative closings (""'How can you say that night is ending in different ways?' (Night ends; The moon sets; Night is done; etc.)"") and selecting adjectives from an anchor chart to describe the moon. Students also discuss why they want to write particular content (""'What do you want to write in verse 3? Why?'""). These moments show students crafting words/phrases with a basic purpose (completing the poem, signaling night's end). However, the lesson never explicitly directs students to consider how their word and phrase choices will influence the audience's responses, thoughts, decisions, or questions — the audience-influence dimension of the standard is absent. The crafting is model-driven and content-focused rather than rhetorically purposeful, so the standard is only partially met.","Craft words and phrases in order to influence the responses, thoughts, decisions, and questions of the target audience and achieve a specific purpose. (I/C)",claude-opus-4-6,align_judge.assembled.v1,True,False,evidence quote found in lesson raw text,
G1M2U3L5,1.T.T.4.b,full,390,False,,high,True,Tell students that now they will write their own version of verse 3 and the closing independently on the 'What the Moon Sees' poem verse 3.,"Students use poetic techniques to create poems in Work Time A-B. The directive 'Tell students that now they will write their own version of verse 3 and the closing independently on the 'What the Moon Sees' poem verse 3' shows students creating a poem using a model and poetic structure. Students use simple words and phrases by referring to anchor charts (Adjectives, Time of Night) and the Word Wall. The poem may or may not rhyme—the standard allows both, and students create a verse of 'What the Moon Sees.'",Use poetic techniques to create poems using simple words and/or phrases that may or may not rhyme. (C),claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,evidence quote found in lesson raw text,
G1M2U3L5,1.L.GC.2.b,partial,390,False,,high,True,Tell students that now they will write their own version of verse 3 and the closing independently on the 'What the Moon Sees' poem verse 3.,"Students independently write verse 3 and a closing of the ""What the Moon Sees"" poem in complete sentences (""Tell students that now they will write their own version of verse 3 and the closing independently""), and the teacher confirms students produce complete sentences (""Ryan, you were able to take your idea that the moon saw a howling wolf and turn it into a complete sentence""). This shows students constructing written text using simple sentences, partially meeting the standard. However, the lesson never explicitly requires or teaches students to use a VARIETY of sentence types (e.g., declarative, interrogative, exclamatory, imperative); students follow a model poem structure that produces similar sentence patterns. The ""variety of sentence types"" component — the core distinguishing requirement of 1.L.GC.2.b — is not addressed, capping alignment at partial.",Use a variety of simple sentences (including a variety of sentence types) to develop clarity in written texts. (C),claude-opus-4-6,align_judge.assembled.v1,True,False,evidence quote found in lesson raw text,
G1M2U3L5,1.P.EICC.1.d,full,389,False,,high,True,"Say: 'As I read the poem today, I want you to look and listen for the parts that make this poem high quality. When you hear or see something, quietly put a thumb out in front of your chest.'","Students build and draw from a repertoire of comprehension and composition skills throughout the lesson. In Opening A, students look and listen for high-quality writing elements in the poem and discuss 'What is something you saw or heard in the poem that let you know the poem is high quality?'—building and drawing from comprehension strategies. In Work Time A-B, students build composition skills by planning and drafting verse 3, drawing from strategies by referring to model verses 1 and 2, anchor charts (Adjectives, Time of Night), and the Word Wall. In Work Time C, students draw from feedback strategies to evaluate writing.","Build a repertoire of comprehension and composition skills, strategies, and techniques, drawing from them as needed to aid the interpretation and construction of texts. (I/C)",claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,evidence quote found in lesson raw text,
G1M2U3L5,1.T.T.3.c,none,,False,,high,True,,alignment=none,"Use knowledge of opinion techniques to create opinion pieces that introduce the topic, state an opinion about the topic, and provides two or more reasons to support the opinion with linking words and and because. (C)",claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,no evidence required for none,
G1M2U3L5,1.L.V.1.b,full,389,False,,high,True,"As students write, circulate and provide guidance by referring students to look at verses 1 and 2, the Time of Night anchor chart, the Adjectives anchor chart, the Sun, Moon, and Stars Word Wall, etc.","Students use grade-level general, academic, and specialized vocabulary to communicate in Work Time A-B. The directive to refer students to 'the Adjectives anchor chart, the Sun, Moon, and Stars Word Wall' while writing verse 3 shows students deploying grade-level vocabulary in their own writing. The lesson involves two settings: partner discussion (Work Time A) and independent writing (Work Time B), meeting the variety-of-settings requirement.","Use grade-level general, academic, and specialized vocabulary words and phrases to communicate in a variety of settings. (C)",claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,evidence quote found in lesson raw text,
G1M2U3L5,1.P.EICC.2.d,full,391,False,,high,True,Tell students they are going to use the Pinky Partners protocol to provide feedback on their partners' writing.,"Students interpret and construct texts to aid analysis and evaluation in Work Time C. Students interpret peer texts by analyzing them against the High-Quality Work anchor chart criteria ('students will focus their feedback on the big ideas of high-quality writing, including details and following conventions'). Students construct texts (oral feedback) to evaluate ideas, as shown by the directive 'Tell students they are going to use the Pinky Partners protocol to provide feedback on their partners' writing' and the teacher's circulation to ensure students 'give feedback on each other's writing.'",Interpret and construct texts to aid the analysis and evaluation of texts and ideas. (I/C),claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,evidence quote found in lesson raw text,
G1M2U3L5,1.L.GC.1.10,none,,False,,high,True,,alignment=none,Form and use the simple verb tenses. (Continue),claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,no evidence required for none,
G1M2U3L5,1.T.T.2.d,none,,False,,high,True,,alignment=none,"Use knowledge of expository techniques to introduce a topic, supply facts about the topic, and provide a sense of closure. (C)",claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,no evidence required for none,
G1M2U3L5,1.T.SS.1.c,none,,False,,high,True,,alignment=none,"Use transition words or phrases, such as once upon a time, next, and last to sequence events and actions. (C)",claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,no evidence required for none,
G1M2U3L5,1.L.V.3.e,partial,389,False,,high,True,"Patrick, I heard you and Julia respectfully come to an agreement about how to describe the moon by using the Adjectives anchor chart.","Both clauses are partially met. For word relationships, students are directed to use the Adjectives anchor chart when choosing words for their poem verse, and teacher feedback confirms at least some students did so: ""Patrick, I heard you and Julia respectfully come to an agreement about how to describe the moon by using the Adjectives anchor chart."" For learned vocabulary, students are guided to consult the Sun, Moon, and Stars Word Wall during independent writing, and the ELL scaffold illustrates transferring a Word Wall term like ""gibbous moon"" into verse 3. However, neither clause is the explicit instructional focus of the lesson — the core objective is writing a narrative poem and launching peer feedback. The word-relationship and vocabulary acts are ambient supports (anchor charts, Word Wall references) rather than structured tasks requiring deliberate, conscious word-choice decisions from all students, capping both clauses at partially met.",Use knowledge of word relationships and learned vocabulary words and phrases when making word choices in speaking and writing. (C),claude-opus-4-6,align_judge.assembled.v1,True,False,evidence quote found in lesson raw text,
