rank,standard_code,standard_text
1,1.P.EICC.2.c,Explain and learn concepts and processes by interpreting and constructing texts. (I/C)
2,1.T.T.4.a,"Identify and describe poetic techniques used to craft texts, including rhyme, alliteration, and repeated lines. (I)"
3,1.P.CP.2.e,Build background knowledge by reciting all or part of significant poems and speeches as appropriate by grade level. (I/C)
4,1.P.EICC.1.e,"Participate in a community of readers and writers by developing group norms, discussing texts, sharing individual writing, listening as others share their writing, and offering and responding to feedback. (I/C)"
5,1.P.EICC.2.b,"Make use of texts to build knowledge, develop skills, make informed decisions, and share information and ideas. (I/C)"
6,1.P.CP.1.c,"Contribute to discussions and shared projects by offering ideas, listening to the ideas of others, and providing feedback. (I/C)"
7,1.P.CP.1.d,"Work with others to discuss topics, investigate questions, solve problems, and explore and create texts. (I/C)"
8,1.T.RA.1.c,Share relevant and accurate information through a variety of different modes. (C)
9,1.P.EICC.2.a,Share real or imagined experiences by interpreting and constructing texts that tell or include stories. (I/C)
10,1.F.H.2.b,Build handwriting fluency by forming accurate letters and words with increasing speed.
11,1.T.SS.2.a,Identify and explain the use of descriptive words in texts. (I)
12,1.T.T.4.b,Use poetic techniques to create poems using simple words and/or phrases that may or may not rhyme. (C)
13,1.L.GC.1.11,"Use determiners (articles, possessive determiners, demonstrative adjectives). (Continue)"
14,1.P.CP.1.a,Arrive to group discussions and collaborative meetings prepared to be an active participant in the work. (I/C)
15,1.P.EICC.1.b,"Discuss or write about personal and academic reading and writing preferences, referring to specific techniques, topics, modes, and genres that resonate most. (I/C)"
16,1.P.ST.1.a,"Use prior knowledge, formal or informal research, and discussions with others to identify the key components of context that are most relevant. (I/C)"
17,1.P.EICC.4.c,"Generate ideas for content by assessing prior knowledge, gathering information from texts, and engaging in discussions with others. (C)"
18,1.P.ST.2.a,"Develop and apply knowledge of author, audience, and context to discern and establish the purpose of texts being interpreted or constructed and to evaluate the extent to which those texts achieve those purposes. (I/C)"
19,1.L.GC.1.8,Use adjectives and adverbs. (Continue)
20,1.T.RA.1.b,"Work collaboratively or individually to conduct research on a shared or personal topic of interest by gathering and organizing information from provided sources (including print, digital, and personal communication) using graphic organizers or other support aids. (I)"
21,1.P.CP.2.d,Engage in dialogue with audiences by asking and answering questions. (I/C)
22,1.L.GC.1.16,Use frequently occurring prepositions. (Introduce)
23,1.L.GC.2.d,"With adult support, use adjectives or adverbs to add details or clarify meaning. (C)"
24,1.P.CP.1.b,"Collaborate with others to determine group norms, establish goals and procedures, and facilitate productivity when working on shared projects. (I/C)"
25,1.T.C.1.c,"Create texts in teacher-selected modes (e.g., print, digital, auditory, and/or visual). (C)"
26,1.P.CP.2.c,"Vary tone, pace, and nonverbal gestures as appropriate to purpose and audience. (I/C)"
27,1.P.AC.1.a,"Identify, apply, and analyze the literary, expository, and opinion (grades K-5) or rhetorical (grades 6-12) elements in texts, explaining or evaluating how specific elements affect the target audience and support the text’s purpose. (I/C)"
28,1.L.V.3.a,Use context within and beyond a sentence to determine or clarify the meaning of unknown and multiple-meaning words and phrases. (I)
29,1.T.RA.2.b,"Explore various sources of information, including print, digital, and personal communication. (I)"
30,1.P.AC.1.b,"Identify, apply, and analyze important, interesting, or effective uses of language, explaining or evaluating how specific word choices affect the target audience and support the text’s purpose. (I/C)"
31,1.T.RA.2.a,"Refer to parts of texts when supporting an idea, answer, or opinion. (I)"
32,1.P.EICC.1.d,"Build a repertoire of comprehension and composition skills, strategies, and techniques, drawing from them as needed to aid the interpretation and construction of texts. (I/C)"
33,1.T.T.1.a,"Identify techniques used to craft stories, including characters, setting, major events, and dialogue. (I)"
34,1.P.EICC.3.e,Make and track predictions about the events and information likely to come next. (I)
35,1.L.GC.1.15,"Use personal pronouns (subject, object, and possessive). (Introduce)"
36,1.L.GC.1.21,"Use coordinating conjunctions to join words, phrases, or clauses. (Introduce)"
37,1.P.AC.3.a,"Explore and create texts in various modes and genres, developing and applying knowledge of how specific features impact meaning, tone, style, purpose, and audience. (I/C)"
