lesson,action,standard_code,new_rank,source_target,note
G1M2U1L10,added,1.T.SS.1.b,6,RL.1.7,crosswalk match (confidence >= high)
G1M2U1L10,added,1.P.EICC.4.c,7,W.1.8,crosswalk match (confidence >= high)
G1M2U1L10,dropped,1.T.SS.2.a,,,lowest-confidence row removed to hold list at 50 (was rank 49)
G1M2U1L10,dropped,1.L.V.3.c,,,lowest-confidence row removed to hold list at 50 (was rank 50)
G1M2U1L11,added,1.L.V.1.a,6,L.1.6,crosswalk match (confidence >= high)
G1M2U1L11,added,1.L.V.1.b,7,L.1.6,crosswalk match (confidence >= high)
G1M2U1L11,added,1.L.V.3.e,8,L.1.6,crosswalk match (confidence >= high)
G1M2U1L11,dropped,1.P.EICC.1.c,,,lowest-confidence row removed to hold list at 50 (was rank 48)
G1M2U1L11,dropped,1.P.AC.3.d,,,lowest-confidence row removed to hold list at 50 (was rank 49)
G1M2U1L11,dropped,1.P.EICC.1.b,,,lowest-confidence row removed to hold list at 50 (was rank 50)
G1M2U1L12,added,1.L.V.1.b,6,L.1.6,crosswalk match (confidence >= high)
G1M2U1L12,added,1.L.V.3.e,7,L.1.6,crosswalk match (confidence >= high)
G1M2U1L12,added,1.T.SS.1.b,8,RL.1.7,crosswalk match (confidence >= high)
G1M2U1L12,dropped,1.P.AC.2.d,,,lowest-confidence row removed to hold list at 50 (was rank 48)
G1M2U1L12,dropped,1.P.AC.3.c,,,lowest-confidence row removed to hold list at 50 (was rank 49)
G1M2U1L12,dropped,1.P.EICC.3.f,,,lowest-confidence row removed to hold list at 50 (was rank 50)
G1M2U1L13,added,1.L.V.3.e,6,L.1.6,crosswalk match (confidence >= high)
G1M2U1L13,dropped,1.P.EICC.1.d,,,lowest-confidence row removed to hold list at 50 (was rank 50)
G1M2U1L3,added,1.L.V.3.a,6,L.1.4a,crosswalk match (confidence >= high)
G1M2U1L3,added,1.T.SS.1.b,7,RL.1.7,crosswalk match (confidence >= high)
G1M2U1L3,added,1.P.EICC.4.c,8,W.1.8,crosswalk match (confidence >= high)
G1M2U1L3,dropped,1.P.AC.3.c,,,lowest-confidence row removed to hold list at 50 (was rank 48)
G1M2U1L3,dropped,1.P.EICC.4.a,,,lowest-confidence row removed to hold list at 50 (was rank 49)
G1M2U1L3,dropped,1.P.EICC.1.e,,,lowest-confidence row removed to hold list at 50 (was rank 50)
G1M2U1L4,added,1.T.SS.2.a,6,RL.1.4,crosswalk match (confidence >= high)
G1M2U1L4,added,1.T.SS.1.b,7,RL.1.7,crosswalk match (confidence >= high)
G1M2U1L4,dropped,1.P.AC.1.a,,,lowest-confidence row removed to hold list at 50 (was rank 49)
G1M2U1L4,dropped,1.P.EICC.3.f,,,lowest-confidence row removed to hold list at 50 (was rank 50)
G1M2U1L5,added,1.L.V.3.a,6,L.1.4a,crosswalk match (confidence >= high)
G1M2U1L5,added,1.T.SS.1.b,7,RL.1.7,crosswalk match (confidence >= high)
G1M2U1L5,added,1.P.EICC.4.c,8,W.1.8,crosswalk match (confidence >= high)
G1M2U1L5,dropped,1.P.AC.1.b,,,lowest-confidence row removed to hold list at 50 (was rank 48)
G1M2U1L5,dropped,1.P.EICC.2.d,,,lowest-confidence row removed to hold list at 50 (was rank 49)
G1M2U1L5,dropped,1.P.ST.2.c,,,lowest-confidence row removed to hold list at 50 (was rank 50)
G1M2U1L6,added,1.T.SS.1.b,6,RL.1.7,crosswalk match (confidence >= high)
G1M2U1L6,dropped,1.T.C.1.c,,,lowest-confidence row removed to hold list at 50 (was rank 50)
G1M2U1L7,added,1.L.V.3.a,6,L.1.4a,crosswalk match (confidence >= high)
G1M2U1L7,added,1.T.SS.1.b,7,RL.1.7,crosswalk match (confidence >= high)
G1M2U1L7,dropped,1.T.SS.1.c,,,lowest-confidence row removed to hold list at 50 (was rank 49)
G1M2U1L7,dropped,1.T.RA.1.a,,,lowest-confidence row removed to hold list at 50 (was rank 50)
G1M2U1L8,added,1.L.V.1.b,6,L.1.6,crosswalk match (confidence >= high)
G1M2U1L8,added,1.L.V.3.e,7,L.1.6,crosswalk match (confidence >= high)
G1M2U1L8,added,1.T.SS.1.b,8,RL.1.7,crosswalk match (confidence >= high)
G1M2U1L8,dropped,1.P.EICC.3.e,,,lowest-confidence row removed to hold list at 50 (was rank 48)
G1M2U1L8,dropped,1.T.C.1.a,,,lowest-confidence row removed to hold list at 50 (was rank 49)
G1M2U1L8,dropped,1.P.EICC.2.d,,,lowest-confidence row removed to hold list at 50 (was rank 50)
G1M2U1L9,added,1.L.V.3.e,6,L.1.6,crosswalk match (confidence >= high)
G1M2U1L9,added,1.T.SS.1.b,7,RL.1.7,crosswalk match (confidence >= high)
G1M2U1L9,dropped,1.P.AC.1.a,,,lowest-confidence row removed to hold list at 50 (was rank 49)
G1M2U1L9,dropped,1.P.ST.2.c,,,lowest-confidence row removed to hold list at 50 (was rank 50)
