source_code,n_lessons,target_code,presence_fraction,avg_reciprocal_rank,lift_vs_background,confidence,target_standard_text
L.1.1,15,1.L.GC.1.20,0.27,0.0169,2.67,low,Form and use the past tense of irregular verbs. (Introduce)
L.1.1,15,1.L.GC.1.5,0.13,0.0086,2.67,low,Form regular plural nouns by adding -s or -es. (Master)
L.1.1,15,1.L.GC.1.12,0.33,0.0170,2.67,low,Capitalize proper nouns. (Continue)
L.1.1c,3,1.L.GC.1.5,0.67,0.0431,13.33,high,Form regular plural nouns by adding -s or -es. (Master)
L.1.1c,3,1.F.P.1.b,0.33,0.0101,13.33,low,"Identify and produce both long and short vowel sounds for A, E, I, O, U, including final -e and vowel digraphs."
L.1.1c,3,1.L.GC.1.18,1.00,0.0266,13.33,high,Use apostrophes to form contractions and singular possessive nouns. (Introduce)
L.1.1d,2,1.F.P.1.b,0.50,0.0152,20.00,medium,"Identify and produce both long and short vowel sounds for A, E, I, O, U, including final -e and vowel digraphs."
L.1.1d,2,1.L.GC.1.18,1.00,0.0263,13.22,high,Use apostrophes to form contractions and singular possessive nouns. (Introduce)
L.1.1d,2,1.L.GC.1.12,1.00,0.0557,8.74,high,Capitalize proper nouns. (Continue)
L.1.1e,3,1.L.GC.1.20,1.00,0.0624,9.83,high,Form and use the past tense of irregular verbs. (Introduce)
L.1.1e,3,1.L.GC.1.10,1.00,0.0837,7.51,high,Form and use the simple verb tenses. (Continue)
L.1.1e,3,1.L.GC.1.19,0.67,0.0970,7.04,high,Form and use irregular plural nouns. (Introduce)
L.1.1f,15,1.L.GC.1.17,0.07,0.0032,2.67,low,"Use commas to separate items in a series and to format dates, addresses, salutations, and closings. (Introduce)"
L.1.1f,15,1.P.AC.3.b,0.07,0.0018,2.67,low,Apply knowledge of how mode and genre impact what kinds of ideas and information are included in texts. (I/C)
L.1.1f,15,1.F.PA.5.a,0.07,0.0028,2.67,low,"Blend onsets and rimes of spoken one-syllable words with blends, digraphs, and trigraphs in the initial and final positions."
L.1.1i,6,1.P.AC.3.b,0.17,0.0045,6.67,low,Apply knowledge of how mode and genre impact what kinds of ideas and information are included in texts. (I/C)
L.1.1i,6,1.T.SS.1.a,0.67,0.1319,5.81,high,"Identify and use various text features (e.g., diagrams, tables of contents) to locate information and make meaning in texts. (I)"
L.1.1i,6,1.T.SS.1.b,0.50,0.1280,5.56,medium,"Use text features (e.g., illustrations, page numbers, bold print, headings) to add clarity and meaning to texts. (C)"
L.1.1j,12,1.F.P.3.c,0.17,0.0056,3.33,low,"Encode one-syllable nonsense words with a variety of spelling patterns (VC, CVC, CVCe, VCC, CCVC, CVCC, CCVCC)."
L.1.1j,12,1.L.GC.1.17,0.08,0.0040,3.33,low,"Use commas to separate items in a series and to format dates, addresses, salutations, and closings. (Introduce)"
L.1.1j,12,1.F.P.2.a,0.08,0.0052,3.33,low,"Decode regularly spelled one-syllable words with a variety of spelling patterns (VC, CV, CVC, CVCe, VCC, CCVC, CVCC, CVVC, CCVCC), including high-frequency words."
L.1.2b,6,1.L.GC.1.17,0.17,0.0079,6.67,low,"Use commas to separate items in a series and to format dates, addresses, salutations, and closings. (Introduce)"
L.1.2b,6,1.F.PA.5.a,0.17,0.0069,6.67,low,"Blend onsets and rimes of spoken one-syllable words with blends, digraphs, and trigraphs in the initial and final positions."
L.1.2b,6,1.P.EICC.4.g,0.83,0.1701,6.10,high,"Make changes to the text based on self-evaluation or external feedback, revising the organization, ideas, information, word choices, and craft techniques in order to increase the text’s effectiveness. (C)"
L.1.4,3,1.L.GC.1.5,0.67,0.0431,13.33,high,Form regular plural nouns by adding -s or -es. (Master)
L.1.4,3,1.F.P.1.b,0.33,0.0101,13.33,low,"Identify and produce both long and short vowel sounds for A, E, I, O, U, including final -e and vowel digraphs."
L.1.4,3,1.L.GC.1.18,1.00,0.0266,13.33,high,Use apostrophes to form contractions and singular possessive nouns. (Introduce)
L.1.4a,5,1.L.GC.1.5,0.40,0.0259,8.00,medium,Form regular plural nouns by adding -s or -es. (Master)
L.1.4a,5,1.L.GC.1.18,0.60,0.0159,8.00,high,Use apostrophes to form contractions and singular possessive nouns. (Introduce)
L.1.4a,5,1.F.P.1.b,0.20,0.0061,8.00,low,"Identify and produce both long and short vowel sounds for A, E, I, O, U, including final -e and vowel digraphs."
L.1.5,3,1.L.GC.1.8,1.00,1.0000,9.89,high,Use adjectives and adverbs. (Continue)
L.1.5,3,1.L.GC.1.11,1.00,0.2611,7.46,high,"Use determiners (articles, possessive determiners, demonstrative adjectives). (Continue)"
L.1.5,3,1.L.GC.1.15,1.00,0.0481,3.49,high,"Use personal pronouns (subject, object, and possessive). (Introduce)"
L.1.5c,3,1.L.GC.1.8,1.00,1.0000,9.89,high,Use adjectives and adverbs. (Continue)
L.1.5c,3,1.L.GC.1.11,1.00,0.2611,7.46,high,"Use determiners (articles, possessive determiners, demonstrative adjectives). (Continue)"
L.1.5c,3,1.L.GC.1.15,1.00,0.0481,3.49,high,"Use personal pronouns (subject, object, and possessive). (Introduce)"
L.1.6,20,1.T.SS.1.b,0.30,0.0460,2.00,low,"Use text features (e.g., illustrations, page numbers, bold print, headings) to add clarity and meaning to texts. (C)"
L.1.6,20,1.P.ST.1.b,0.05,0.0011,2.00,low,Consider how context impacts the purposes of the author and the audience. (I/C)
L.1.6,20,1.P.AC.3.b,0.05,0.0014,2.00,low,Apply knowledge of how mode and genre impact what kinds of ideas and information are included in texts. (I/C)
RI.1.1,10,1.F.P.2.a,0.10,0.0063,4.00,low,"Decode regularly spelled one-syllable words with a variety of spelling patterns (VC, CV, CVC, CVCe, VCC, CCVC, CVCC, CVVC, CCVCC), including high-frequency words."
RI.1.1,10,1.F.P.3.c,0.20,0.0067,4.00,low,"Encode one-syllable nonsense words with a variety of spelling patterns (VC, CVC, CVCe, VCC, CCVC, CVCC, CCVCC)."
RI.1.1,10,1.P.AC.3.b,0.10,0.0027,4.00,low,Apply knowledge of how mode and genre impact what kinds of ideas and information are included in texts. (I/C)
RI.1.2,8,1.P.AC.3.b,0.12,0.0034,5.00,low,Apply knowledge of how mode and genre impact what kinds of ideas and information are included in texts. (I/C)
RI.1.2,8,1.T.SS.1.a,0.50,0.1019,4.48,medium,"Identify and use various text features (e.g., diagrams, tables of contents) to locate information and make meaning in texts. (I)"
RI.1.2,8,1.T.SS.1.b,0.50,0.1026,4.46,medium,"Use text features (e.g., illustrations, page numbers, bold print, headings) to add clarity and meaning to texts. (C)"
RI.1.4,8,1.P.AC.3.b,0.12,0.0034,5.00,low,Apply knowledge of how mode and genre impact what kinds of ideas and information are included in texts. (I/C)
RI.1.4,8,1.T.SS.1.a,0.50,0.1019,4.48,medium,"Identify and use various text features (e.g., diagrams, tables of contents) to locate information and make meaning in texts. (I)"
RI.1.4,8,1.T.SS.1.b,0.50,0.1026,4.46,medium,"Use text features (e.g., illustrations, page numbers, bold print, headings) to add clarity and meaning to texts. (C)"
RI.1.6,8,1.P.AC.3.b,0.12,0.0034,5.00,low,Apply knowledge of how mode and genre impact what kinds of ideas and information are included in texts. (I/C)
RI.1.6,8,1.T.SS.1.a,0.62,0.1049,4.62,high,"Identify and use various text features (e.g., diagrams, tables of contents) to locate information and make meaning in texts. (I)"
RI.1.6,8,1.T.SS.1.b,0.50,0.1026,4.46,medium,"Use text features (e.g., illustrations, page numbers, bold print, headings) to add clarity and meaning to texts. (C)"
RI.1.7,10,1.P.AC.3.b,0.10,0.0027,4.00,low,Apply knowledge of how mode and genre impact what kinds of ideas and information are included in texts. (I/C)
RI.1.7,10,1.T.SS.1.a,0.50,0.0839,3.69,medium,"Identify and use various text features (e.g., diagrams, tables of contents) to locate information and make meaning in texts. (I)"
RI.1.7,10,1.T.SS.1.b,0.40,0.0820,3.57,medium,"Use text features (e.g., illustrations, page numbers, bold print, headings) to add clarity and meaning to texts. (C)"
RL.1.1,15,1.L.GC.1.20,0.27,0.0169,2.67,low,Form and use the past tense of irregular verbs. (Introduce)
RL.1.1,15,1.L.GC.1.5,0.13,0.0086,2.67,low,Form regular plural nouns by adding -s or -es. (Master)
RL.1.1,15,1.L.GC.1.14,0.33,0.0129,2.67,low,Form plural nouns by changing -y to -ies. (Introduce)
RL.1.10,3,1.T.C.1.b,0.33,0.0196,6.79,low,"Identify different modes of communication: print, digital, auditory, and visual. (I)"
RL.1.10,3,1.L.V.2.c,0.67,0.0208,4.35,high,Construct words using frequently occurring roots words and inflectional endings. (C)
RL.1.10,3,1.T.SS.2.a,0.67,0.1222,3.66,high,Identify and explain the use of descriptive words in texts. (I)
RL.1.2,13,1.P.ST.1.b,0.08,0.0017,3.08,low,Consider how context impacts the purposes of the author and the audience. (I/C)
RL.1.2,13,1.L.GC.1.18,0.23,0.0061,3.08,low,Use apostrophes to form contractions and singular possessive nouns. (Introduce)
RL.1.2,13,1.F.P.1.b,0.08,0.0023,3.08,low,"Identify and produce both long and short vowel sounds for A, E, I, O, U, including final -e and vowel digraphs."
RL.1.3,13,1.P.ST.1.b,0.08,0.0017,3.08,low,Consider how context impacts the purposes of the author and the audience. (I/C)
RL.1.3,13,1.L.GC.1.18,0.23,0.0061,3.08,low,Use apostrophes to form contractions and singular possessive nouns. (Introduce)
RL.1.3,13,1.F.P.1.b,0.08,0.0023,3.08,low,"Identify and produce both long and short vowel sounds for A, E, I, O, U, including final -e and vowel digraphs."
RL.1.4,4,1.F.P.1.b,0.25,0.0076,10.00,low,"Identify and produce both long and short vowel sounds for A, E, I, O, U, including final -e and vowel digraphs."
RL.1.4,4,1.L.GC.2.c,0.50,0.1458,8.23,medium,Use singular and plural subjects with matching verbs. (C)
RL.1.4,4,1.L.GC.1.5,0.25,0.0250,7.73,low,Form regular plural nouns by adding -s or -es. (Master)
RL.1.5,3,1.F.P.2.a,0.33,0.0208,13.33,low,"Decode regularly spelled one-syllable words with a variety of spelling patterns (VC, CV, CVC, CVCe, VCC, CCVC, CVCC, CVVC, CCVCC), including high-frequency words."
RL.1.5,3,1.P.AC.3.b,0.33,0.0090,13.33,low,Apply knowledge of how mode and genre impact what kinds of ideas and information are included in texts. (I/C)
RL.1.5,3,1.F.PA.6.b,0.33,0.0667,10.37,low,Distinguish between short and long vowel sounds in spoken one-syllable words.
RL.1.7,13,1.P.ST.1.b,0.08,0.0017,3.08,low,Consider how context impacts the purposes of the author and the audience. (I/C)
RL.1.7,13,1.L.GC.1.18,0.23,0.0061,3.08,low,Use apostrophes to form contractions and singular possessive nouns. (Introduce)
RL.1.7,13,1.F.P.1.b,0.08,0.0023,3.08,low,"Identify and produce both long and short vowel sounds for A, E, I, O, U, including final -e and vowel digraphs."
SL.1.1,16,1.F.P.1.b,0.06,0.0019,2.50,low,"Identify and produce both long and short vowel sounds for A, E, I, O, U, including final -e and vowel digraphs."
SL.1.1,16,1.T.T.1.d,0.56,0.0432,2.17,medium,"With adult support, compare and contrast characters and their experiences in stories across diverse cultures. (I)"
SL.1.1,16,1.T.T.1.a,0.69,0.4940,2.09,medium,"Identify techniques used to craft stories, including characters, setting, major events, and dialogue. (I)"
SL.1.1a,9,1.L.GC.1.8,0.78,0.3542,3.50,high,Use adjectives and adverbs. (Continue)
SL.1.1a,9,1.L.GC.1.11,0.78,0.1090,3.12,high,"Use determiners (articles, possessive determiners, demonstrative adjectives). (Continue)"
