source_code,source_text
L.1.1b,Use common, proper, and possessive nouns.
L.1.1c,Use singular and plural nouns with matching verbs in basic sentences (e.g., He hops; We hop).
L.1.1d,"Use personal, possessive, and indefinite pronouns (e.g., I, me, my; they, them, their; anyone, everything)."
L.1.1e,Use verbs to convey a sense of past, present, and future (e.g., Yesterday I walked home; Today I walk home; Tomorrow I will walk home).
L.1.1f,Use frequently occurring adjectives.
L.1.1i,Use frequently occurring prepositions (e.g., during, beyond, toward).
L.1.1j,"Produce and expand complete simple and compound declarative, interrogative, imperative, and exclamatory sentences in response to prompts."
L.1.2a,Capitalize dates and names of people.
L.1.2b,Use end punctuation for sentences.
L.1.4a,Use sentence-level context as a clue to the meaning of a word or phrase.
L.1.6,"Use words and phrases acquired through conversations, reading and being read to, and responding to texts, including using frequently occurring conjunctions to signal simple relationships (e.g., because)."
RL.1.1,Ask and answer questions about key details in a text.
RL.1.2,"Retell stories, including key details, and demonstrate understanding of their central message or lesson."
RL.1.3,"Describe characters, settings, and major events in a story, using key details."
RL.1.4,Identify words and phrases in stories or poems that suggest feelings or appeal to the senses.
RL.1.5,Explain major differences between books that tell stories and books that give information; drawing on a wide reading of a range of text types.
RL.1.7,"Use illustrations and details in a story to describe its characters, setting, or events."
RL.1.10,"With prompting and support, read prose and poetry of appropriate complexity for grade 1."
RI.1.2,Identify the main topic and retell key details of a text.
RI.1.4,Ask and answer questions to help determine or clarify the meaning of words and phrases in a text.
RI.1.6,Distinguish between information provided by pictures or other illustrations and information provided by the words in a text.
RI.1.7,Use the illustrations and details in a text to describe its key ideas.
SL.1.1,"Participate in collaborative conversations with diverse partners about grade 1 topics and texts with peers and adults in small and larger groups."
SL.1.1a,"Follow agreed-upon rules for discussions (e.g., listening to others with care, speaking one at a time about the topics and texts under discussion)."
SL.1.1b,Build on others' talk in conversations by responding to the comments of others through multiple exchanges.
SL.1.2,"Ask and answer questions about key details in a text read aloud or information presented orally or through other media."
SL.1.4,"Describe people, places, things, and events with relevant details, expressing ideas and feelings clearly."
W.1.3,"Write narratives in which they recount two or more appropriately sequenced events, include some details regarding what happened, use temporal words to signal event order, and provide some sense of closure."
W.1.8,"With guidance and support from adults, recall information from experiences or gather information from provided sources to answer a question."
