resource_id,standard_code,matched_status,page,needs_review,review_reason,confidence,grounded,evidence,rationale,standard_raw_text,judge_model,prompt_version,escalated,coverage_pass,grounding_note,input_scope_caveat
G1M2U1L3,1.L.V.1.b,none,,False,,high,True,,alignment=none,"Use grade-level general, academic, and specialized vocabulary words and phrases to communicate in a variety of settings. (C)",claude-opus-4-6,align_judge.assembled.v1,True,False,no evidence required for none,
G1M2U1L3,1.P.EICC.3.g,none,,False,,high,True,,alignment=none,Determine the meanings of unfamiliar words and concepts by applying knowledge of context and of academic vocabulary and word parts. (I),claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,no evidence required for none,
G1M2U1L3,1.L.V.1.a,full,70,False,,high,True,Invite students to turn and talk to an elbow partner: 'Who is the main character?' (the boy) 'Where does the story take place?' (a farm),"Students acquire grade-level academic vocabulary (key details, character, setting, main character) from the grade-level text Summer Sun Risin' and the lesson's content (Work Time B: 'What are key details?' (important parts of the text that support the main idea) … 'What is the setting of a story?' (when and where a story takes place)). They apply this vocabulary in partner turn-and-talk and on the response sheet (Closing A: 'Who is the main character?' (the boy) 'Where does the story take place?' (a farm)). Both acquire and apply are met → full.","Acquire and apply general, academic, and specialized vocabulary words and phrases through grade-level texts and content. (I)",claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,evidence quote found in lesson raw text,
G1M2U1L3,1.T.T.2.a,none,,False,,high,True,,alignment=none,"Identify techniques used to craft expository texts, including main topic and supporting details. (I)",claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,no evidence required for none,
G1M2U1L3,1.T.RA.1.c,full,70,False,,high,True,Invite students to turn and talk to an elbow partner: 'Who is the main character?' (the boy) 'Where does the story take place?' (a farm),Students share relevant and accurate information about the text (Closing A: 'Who is the main character?' (the boy) 'Where does the story take place?' (a farm)) through a variety of modes: oral partner discussion and written/visual response on the Summer Sun Risin' response sheet ('using pictures and words to show their thinking'). All three clauses met → full.,Share relevant and accurate information through a variety of different modes. (C),claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,evidence quote found in lesson raw text,
G1M2U1L3,1.T.T.1.c,none,,False,,high,True,,alignment=none,"Describe traits of the main characters and explain how their words and actions support the central message, lesson, or moral of the story. (I)",claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,no evidence required for none,scored on provided lesson text; likely understated pending the Read-aloud Guides.
G1M2U1L3,1.P.EICC.4.c,none,,False,,high,True,,alignment=none,"Generate ideas for content by assessing prior knowledge, gathering information from texts, and engaging in discussions with others. (C)",claude-opus-4-6,align_judge.assembled.v1,True,False,no evidence required for none,
G1M2U1L3,1.F.F.1.c,none,,False,,high,True,,alignment=none,"Read a wide range of grade-level texts aloud with appropriate prosody (phrasing, expression, juncture/pause, and intonation) to demonstrate understanding.",claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,no evidence required for none,
G1M2U1L3,1.P.EICC.2.b,full,70,False,,high,True,"Tell students that today they will complete only Part 1, by writing and drawing about the main character and setting using key details from the text. … Transition students to their workspaces and invite them to begin working.","Students use the text Summer Sun Risin' to build knowledge about the main character and setting (Work Time B: close read-aloud with focus on key details) and to share information and ideas (Closing A: partner discussion 'Who is the main character?' (the boy) 'Where does the story take place?' (a farm) and response sheet 'writing and drawing about the main character and setting using key details from the text'). The OR-list requires any one student-performed purpose; students perform two (build knowledge, share information) → full.","Make use of texts to build knowledge, develop skills, make informed decisions, and share information and ideas. (I/C)",claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,evidence quote found in lesson raw text,
G1M2U1L3,1.T.T.1.a,partial,70,False,,high,True,'Who is the main character?' (the boy),"Students identify characters and setting of Summer Sun Risin' during the Closing section: ""'Who is the main character?' (the boy)"" and ""'Where does the story take place?' (a farm)"" — both are student-performed responses to elicitation questions, meeting the characters and setting clauses. They also write and draw about the main character and setting on the response sheet. However, students are never asked to identify major events in this lesson (the teacher notes that major events will be addressed ""in the next few lessons""), and dialogue as a story-crafting technique is not addressed at all. Two of four required clauses are unmet, so alignment is partial.","Identify techniques used to craft stories, including characters, setting, major events, and dialogue. (I)",claude-opus-4-6,align_judge.assembled.v1,True,False,evidence quote found in lesson raw text,scored on provided lesson text; likely understated pending the Read-aloud Guides.
G1M2U1L3,1.P.AC.1.b,none,,False,,high,True,,alignment=none,"Identify, apply, and analyze important, interesting, or effective uses of language, explaining or evaluating how specific word choices affect the target audience and support the text’s purpose. (I/C)",claude-opus-4-6,align_judge.assembled.v1,True,False,no evidence required for none,
G1M2U1L3,1.P.CP.2.a,full,70,False,,high,True,Invite students to turn and talk to an elbow partner: 'Who is the main character?' (the boy) 'Where does the story take place?' (a farm),"Students communicate clearly to present information about the text in partner discussion (Closing A: 'Who is the main character?' (the boy) 'Where does the story take place?' (a farm)). The manner-modifier principle applies: students genuinely present aloud, so both the clarity manner and the present-ideas act are satisfied → full.","Communicate clearly to present ideas, information, and texts. (I/C)",claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,evidence quote found in lesson raw text,
G1M2U1L3,1.P.EICC.2.c,full,68,False,,high,True,"Share that today, students will hear a story read aloud about a boy's daily activities as the sun travels across the sky from sunrise to sunset. They should pay attention to key details about the main character and setting.","Students explain and learn concepts (key details, main character, setting) by interpreting the text Summer Sun Risin' during the close read-aloud (Work Time B: 'What are key details?' (important parts of the text that support the main idea) … 'What is the setting of a story?' (when and where a story takes place)). They construct a text (response sheet) to demonstrate understanding (Closing A: 'writing and drawing about the main character and setting using key details from the text'). All three clauses met → full.",Explain and learn concepts and processes by interpreting and constructing texts. (I/C),claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,evidence quote found in lesson raw text,
G1M2U1L3,1.L.V.3.a,none,,False,,high,True,,alignment=none,Use context within and beyond a sentence to determine or clarify the meaning of unknown and multiple-meaning words and phrases. (I),claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,no evidence required for none,
