lesson,action,standard_code,new_rank,source_target,note
G1M2U2L10,added,1.T.T.2.a,6,RI.1.2,crosswalk match (confidence >= high)
G1M2U2L10,dropped,1.P.ST.1.c,,,lowest-confidence row removed to hold list at 50 (was rank 50)
G1M2U2L5,added,1.T.T.2.a,6,RI.1.2,crosswalk match (confidence >= high)
G1M2U2L5,dropped,1.P.EICC.3.a,,,lowest-confidence row removed to hold list at 50 (was rank 50)
G1M2U2L6,added,1.L.GC.1.8,6,L.1.1f,crosswalk match (confidence >= high)
G1M2U2L6,dropped,1.P.ST.2.c,,,lowest-confidence row removed to hold list at 50 (was rank 50)
G1M2U2L7,added,1.L.GC.1.8,6,L.1.1f,crosswalk match (confidence >= high)
G1M2U2L7,dropped,1.P.EICC.3.a,,,lowest-confidence row removed to hold list at 50 (was rank 50)
G1M2U2L8,added,1.T.T.2.a,6,RI.1.2,crosswalk match (confidence >= high)
G1M2U2L8,dropped,1.P.AC.1.b,,,lowest-confidence row removed to hold list at 50 (was rank 50)
G1M2U2L9,added,1.L.GC.1.8,6,L.1.1f,crosswalk match (confidence >= high)
G1M2U2L9,dropped,1.T.RA.2.a,,,lowest-confidence row removed to hold list at 50 (was rank 50)
G1M2U3L7,added,1.L.GC.1.8,6,L.1.1f,crosswalk match (confidence >= high)
G1M2U3L7,dropped,1.P.AC.2.c,,,lowest-confidence row removed to hold list at 50 (was rank 50)
G1M2U3L9,added,1.L.GC.1.8,6,L.1.1f,crosswalk match (confidence >= high)
G1M2U3L9,dropped,1.P.EICC.3.c,,,lowest-confidence row removed to hold list at 50 (was rank 50)
