lesson_id,rank,standard_code,standard_text
G1M2U1L1,1,1.L.V.1.b,"Use grade-level general, academic, and specialized vocabulary words and phrases to communicate in a variety of settings. (C)"
G1M2U1L1,2,1.P.EICC.4.c,"Generate ideas for content by assessing prior knowledge, gathering information from texts, and engaging in discussions with others. (C)"
G1M2U1L1,3,1.T.RA.1.c,Share relevant and accurate information through a variety of different modes. (C)
G1M2U1L1,4,1.P.EICC.1.c,"Select, read, and write texts of personal interest and academic relevance to grade-level texts and topics. (I/C)"
G1M2U1L1,5,1.L.V.1.a,"Acquire and apply general, academic, and specialized vocabulary words and phrases through grade-level texts and content. (I)"
G1M2U1L1,6,1.P.CP.2.d,Engage in dialogue with audiences by asking and answering questions. (I/C)
G1M2U1L1,7,1.P.CP.1.d,"Work with others to discuss topics, investigate questions, solve problems, and explore and create texts. (I/C)"
G1M2U1L1,8,1.L.V.3.d,"With teacher support, use a picture dictionary or digital resource to clarify the meaning of unknown words and phrases. (I)"
G1M2U1L1,9,1.P.EICC.3.g,Determine the meanings of unfamiliar words and concepts by applying knowledge of context and of academic vocabulary and word parts. (I)
G1M2U1L1,10,1.P.EICC.2.b,"Make use of texts to build knowledge, develop skills, make informed decisions, and share information and ideas. (I/C)"
G1M2U1L1,11,1.P.EICC.1.e,"Participate in a community of readers and writers by developing group norms, discussing texts, sharing individual writing, listening as others share their writing, and offering and responding to feedback. (I/C)"
G1M2U1L1,12,1.T.RA.1.a,Ask questions about topics of interest for research. (I)
G1M2U1L1,13,1.P.CP.2.a,"Communicate clearly to present ideas, information, and texts. (I/C)"
G1M2U1L1,14,1.T.T.2.b,"Describe the connection between two individuals, events, ideas, or pieces of information in a text. (I)"
G1M2U1L1,15,1.L.V.3.a,Use context within and beyond a sentence to determine or clarify the meaning of unknown and multiple-meaning words and phrases. (I)
G1M2U1L1,16,1.P.CP.1.c,"Contribute to discussions and shared projects by offering ideas, listening to the ideas of others, and providing feedback. (I/C)"
G1M2U1L1,17,1.P.ST.1.a,"Use prior knowledge, formal or informal research, and discussions with others to identify the key components of context that are most relevant. (I/C)"
G1M2U1L1,18,1.L.V.3.e,Use knowledge of word relationships and learned vocabulary words and phrases when making word choices in speaking and writing. (C)
G1M2U1L1,19,1.T.T.1.e,"Use knowledge of narrative techniques (e.g., characters, settings, events) to create texts that share real or imagined experiences and events with a sense of closure. (C)"
G1M2U1L1,20,1.P.EICC.3.e,Make and track predictions about the events and information likely to come next. (I)
G1M2U1L1,21,1.P.EICC.2.c,Explain and learn concepts and processes by interpreting and constructing texts. (I/C)
G1M2U1L1,22,1.P.AC.2.d,"Organize texts by incorporating specific formats, structures, patterns, and features to influence the audience, facilitate accessibility, and support the text’s purpose. (I/C)"
G1M2U1L1,23,1.F.F.1.c,"Read a wide range of grade-level texts aloud with appropriate prosody (phrasing, expression, juncture/pause, and intonation) to demonstrate understanding."
G1M2U1L1,24,1.P.AC.1.b,"Identify, apply, and analyze important, interesting, or effective uses of language, explaining or evaluating how specific word choices affect the target audience and support the text’s purpose. (I/C)"
G1M2U1L1,25,1.T.T.2.d,"Use knowledge of expository techniques to introduce a topic, supply facts about the topic, and provide a sense of closure. (C)"
G1M2U1L1,26,1.T.SS.1.c,"Use transition words or phrases, such as once upon a time, next, and last to sequence events and actions. (C)"
G1M2U1L1,27,1.F.F.1.a,"Increase sight word vocabulary using decoding skills by reading grade-appropriate regularly and irregularly spelled words, including high-frequency words, in isolation and context with increasing automaticity."
G1M2U1L1,28,1.T.T.1.a,"Identify techniques used to craft stories, including characters, setting, major events, and dialogue. (I)"
G1M2U1L1,29,1.T.SS.2.a,Identify and explain the use of descriptive words in texts. (I)
G1M2U1L1,30,1.T.T.1.c,"Describe traits of the main characters and explain how their words and actions support the central message, lesson, or moral of the story. (I)"
G1M2U1L1,31,1.T.T.1.b,Identify a simple plot with a problem and solution. (I)
