resource_id,standard_code,matched_status,confidence,grounded,evidence,evidence_page,rationale,standard_raw_text,judge_model,prompt_version,escalated,rerank_score,rrf_score,dense_score,bm25_score,dense_rank,bm25_rank,grounding_note
G1M2U1L3,1.P.CP.1.d,full,high,True,"Invite students to turn and talk to an elbow partner:
- 'What does it look like to look closely at the illustrations?' (Look for students to mimic studying and looking deeply at imaginary pictures.)
- 'What does it look like to reread the text?' (Look for students to mimic rereading a pretend text.)
- Refocus whole group and invite one or two students to share out.
...
Invite students to turn and talk to an elbow partner:
- 'Who is the main character?' (the boy)
- 'Where does the story take place?' (a farm)
...
Tell students that today they will answer these two questions using pictures and words to show their thinking.",70,"Students work with partners to discuss topics and investigate questions about the text, and collaboratively explore and create texts through discussion and shared writing/drawing activities. There is no explicit evidence of collaborative problem-solving, but all other clauses are met.","Work with others to discuss topics, investigate questions, solve problems, and explore and create texts. (I/C)",gpt-4.1,align_judge.batch.v1,False,0.9423299431800842,0.022254475084663765,0.51252663,87.28875100274264,46,18,evidence quote found in lesson raw text
G1M2U1L3,1.P.EICC.3.d,full,high,True,"Remind students of the work they did thinking about key details relating to the main character and setting in Summer Sun Risin' during the close read-aloud.
Invite students to turn and talk to an elbow partner:
- 'Who is the main character?' (the boy)
- 'Where does the story take place?' (a farm)
Display Summer Sun Risin' response sheet. Point out that this material has two parts. Tell students that today they will complete only Part 1, by writing and drawing about the main character and setting using key details from the text.",70,"Students summarize sections of the text by identifying and discussing key details about the main character and setting, and visualize by drawing about these elements to support understanding.",Summarize and visualize sections of the text to maintain understanding. (I),gpt-4.1,align_judge.batch.v1,False,0.9323159456253052,0.025151515151515154,0.56719756,70.03306974701248,6,40,evidence quote found in lesson raw text
G1M2U1L3,1.T.RA.1,none,high,True,,,"The lesson focuses on close reading and discussion of a single literary text, not on research or using multiple sources as required by the standard.","Build knowledge about the world by asking or generating questions about topics of interest, researching the answers, using multiple sources, and communicating relevant and accurate information about the topic.",gpt-4.1,align_judge.batch.v1,False,0.9034565091133118,0.02459499263622975,0.52615774,101.65801462389038,37,10,no evidence required for none
G1M2U1L3,1.T.T.1.a,full,high,True,"Remind students of the work they did thinking about key details relating to the main character and setting in Summer Sun Risin' during the close read-aloud.
Invite students to turn and talk to an elbow partner:
- 'Who is the main character?' (the boy)
- 'Where does the story take place?' (a farm)
Display Summer Sun Risin' response sheet. Point out that this material has two parts. Tell students that today they will complete only Part 1, by writing and drawing about the main character and setting using key details from the text.",70,"Students identify characters, setting, and major events through discussion and written/drawn responses about the story. Dialogue is referenced in the close read-aloud and song activities.","Identify techniques used to craft stories, including characters, setting, major events, and dialogue. (I)",gpt-4.1,align_judge.batch.v1,False,0.8966339826583862,0.03278688524590164,0.6373236,159.6636344406203,1,1,evidence quote found in lesson raw text
G1M2U1L3,1.T.T.1.c,partial,medium,True,"Share with students that today, they will begin reading a new book called Summer Sun Risin' and will get to practice the things close readers do as they answer the focus question: 'What is the boy doing when the sun is rising, at its highest, and setting in the sky?'",67,Students discuss the actions of the main character but do not explicitly describe character traits or connect words/actions to the story's message or moral.,"Describe traits of the main characters and explain how their words and actions support the central message, lesson, or moral of the story. (I)",gpt-4.1,align_judge.batch.v1,False,0.8959988951683044,0.03200204813108039,0.599799,126.46571637175542,3,2,evidence quote found in lesson raw text
G1M2U1L3,1.P.ST.1.c,none,high,True,,,The lesson does not address how context influences author or audience decisions in interpreting or constructing texts.,Explore how context shapes the author’s decisions and the audience’s responses during the interpretation and construction of texts. (I/C),gpt-4.1,align_judge.batch.v1,False,0.8855766654014587,0.02210552027357108,0.53039384,75.45982400090185,29,32,no evidence required for none
G1M2U1L3,1.T.T.1.d,none,high,True,,,The lesson focuses on a single story and does not involve comparing or contrasting characters or experiences across diverse cultures.,"With adult support, compare and contrast characters and their experiences in stories across diverse cultures. (I)",gpt-4.1,align_judge.batch.v1,False,0.8773234486579895,0.015625,0.57973844,,4,,no evidence required for none
G1M2U1L3,1.P.CP.2.d,full,high,True,"Invite students to turn and talk to an elbow partner:
- 'Who is the main character?' (the boy)
- 'Where does the story take place?' (a farm)
...
Invite students to turn and talk to an elbow partner:
- 'What does it look like to look closely at the illustrations?' (Look for students to mimic studying and looking deeply at imaginary pictures.)
- 'What does it look like to reread the text?' (Look for students to mimic rereading a pretend text.)",70,"Students engage in dialogue with peers, asking and answering questions about the text and their understanding.",Engage in dialogue with audiences by asking and answering questions. (I/C),gpt-4.1,align_judge.batch.v1,False,0.8727113604545593,0.014705882352941176,,108.8391933636461,,8,evidence quote found in lesson raw text
G1M2U1L3,1.T.C.2,none,high,True,,,The lesson does not include activities where students identify the narrator or speaker at different points in the text.,Investigate the relationships between authors and speakers in texts.,gpt-4.1,align_judge.batch.v1,False,0.8710803389549255,0.02904040404040404,0.5536134,117.68068820728409,12,6,no evidence required for none
G1M2U1L3,1.P.ST.1,none,low,False,"To activate background knowledge, link each bullet on the anchor chart to printed photographs of students closely reading. (MMR)
Remind students of the definition of character (person, animal, or object in a story, play, or movie)
Using a total participation technique, invite responses from the group:
- 'What is the setting of a story?' (when and where a story takes place)",67,"Students use prior knowledge and discussion to identify context elements like setting, but do not explicitly consider author/audience purposes or how context shapes decisions. [REJECTED: evidence missing or not found in lesson raw text]","Develop and apply knowledge of key components of context such as background information, geographic location, cultural influences, time period, and contemporary events when interpreting and constructing texts.",gpt-4.1,align_judge.batch.v1,False,0.869810938835144,0.021627308861351415,0.52966183,74.73301722569548,31,34,evidence quote NOT found in lesson raw text (possible fabrication)
