resource_id,standard_code,matched_status,page,needs_review,review_reason,confidence,grounded,evidence,rationale,standard_raw_text,judge_model,prompt_version,escalated,coverage_pass,grounding_note,input_scope_caveat
G1M2U1L3,1.L.V.1.a,full,70,False,,high,True,Invite students to turn and talk to an elbow partner: 'Who is the main character?' (the boy) 'Where does the story take place?' (a farm),"Students acquire grade-level academic vocabulary (key details, character, setting, main character) from the grade-level text Summer Sun Risin' and the lesson's content (Work Time B: 'What are key details?' (important parts of the text that support the main idea) … 'What is the setting of a story?' (when and where a story takes place)). They apply this vocabulary in partner turn-and-talk and on the response sheet (Closing A: 'Who is the main character?' (the boy) 'Where does the story take place?' (a farm)). Both acquire and apply are met → full.","Acquire and apply general, academic, and specialized vocabulary words and phrases through grade-level texts and content. (I)",claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,evidence quote found in lesson raw text,
G1M2U1L3,1.T.RA.1.c,full,70,False,,high,True,Invite students to turn and talk to an elbow partner: 'Who is the main character?' (the boy) 'Where does the story take place?' (a farm),Students share relevant and accurate information about the text (Closing A: 'Who is the main character?' (the boy) 'Where does the story take place?' (a farm)) through a variety of modes: oral partner discussion and written/visual response on the Summer Sun Risin' response sheet ('using pictures and words to show their thinking'). All three clauses met → full.,Share relevant and accurate information through a variety of different modes. (C),claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,evidence quote found in lesson raw text,
G1M2U1L3,1.P.EICC.2.b,full,70,False,,high,True,"Tell students that today they will complete only Part 1, by writing and drawing about the main character and setting using key details from the text. … Transition students to their workspaces and invite them to begin working.","Students use the text Summer Sun Risin' to build knowledge about the main character and setting (Work Time B: close read-aloud with focus on key details) and to share information and ideas (Closing A: partner discussion 'Who is the main character?' (the boy) 'Where does the story take place?' (a farm) and response sheet 'writing and drawing about the main character and setting using key details from the text'). The OR-list requires any one student-performed purpose; students perform two (build knowledge, share information) → full.","Make use of texts to build knowledge, develop skills, make informed decisions, and share information and ideas. (I/C)",claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,evidence quote found in lesson raw text,
G1M2U1L3,1.T.T.1.a,partial,70,False,,high,True,'Who is the main character?' (the boy),"Students identify characters and setting of Summer Sun Risin' during the Closing section: ""'Who is the main character?' (the boy)"" and ""'Where does the story take place?' (a farm)"" — both are student-performed responses to elicitation questions, meeting the characters and setting clauses. They also write and draw about the main character and setting on the response sheet. However, students are never asked to identify major events in this lesson (the teacher notes that major events will be addressed ""in the next few lessons""), and dialogue as a story-crafting technique is not addressed at all. Two of four required clauses are unmet, so alignment is partial.","Identify techniques used to craft stories, including characters, setting, major events, and dialogue. (I)",claude-opus-4-6,align_judge.assembled.v1,True,False,evidence quote found in lesson raw text,scored on provided lesson text; likely understated pending the Read-aloud Guides.
G1M2U1L3,1.P.CP.2.a,full,70,False,,high,True,Invite students to turn and talk to an elbow partner: 'Who is the main character?' (the boy) 'Where does the story take place?' (a farm),"Students communicate clearly to present information about the text in partner discussion (Closing A: 'Who is the main character?' (the boy) 'Where does the story take place?' (a farm)). The manner-modifier principle applies: students genuinely present aloud, so both the clarity manner and the present-ideas act are satisfied → full.","Communicate clearly to present ideas, information, and texts. (I/C)",claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,evidence quote found in lesson raw text,
G1M2U1L3,1.P.EICC.2.c,full,68,False,,high,True,"Share that today, students will hear a story read aloud about a boy's daily activities as the sun travels across the sky from sunrise to sunset. They should pay attention to key details about the main character and setting.","Students explain and learn concepts (key details, main character, setting) by interpreting the text Summer Sun Risin' during the close read-aloud (Work Time B: 'What are key details?' (important parts of the text that support the main idea) … 'What is the setting of a story?' (when and where a story takes place)). They construct a text (response sheet) to demonstrate understanding (Closing A: 'writing and drawing about the main character and setting using key details from the text'). All three clauses met → full.",Explain and learn concepts and processes by interpreting and constructing texts. (I/C),claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,evidence quote found in lesson raw text,
G1M2U1L3,1.P.AC.1.a,partial,70,False,,high,True,'Who is the main character?' (the boy),"Students identify two literary elements — character and setting — by answering ""'Who is the main character?' (the boy)"" and ""'Where does the story take place?' (a farm)"" during turn-and-talk, and they apply that knowledge by writing and drawing about the main character and setting on the Summer Sun Risin' response sheet. These activities partially meet the identify and apply clauses for literary elements only. However, no activity asks students to analyze how those elements affect the audience or to explain/evaluate how elements support the text's purpose — those clauses are not met. The lesson's focus is on close-reading comprehension (asking and answering questions about key details), not on author's craft analysis.","Identify, apply, and analyze the literary, expository, and opinion (grades K-5) or rhetorical (grades 6-12) elements in texts, explaining or evaluating how specific elements affect the target audience and support the text’s purpose. (I/C)",claude-opus-4-6,align_judge.assembled.v1,True,False,evidence quote found in lesson raw text,
G1M2U1L3,1.T.RA.2.a,full,68,False,,high,True,I can ask and answer questions about the boy and the sun in Summer Sun Risin' using key details from the text.,"The learning target directs students to 'ask and answer questions about the boy and the sun in Summer Sun Risin' using key details from the text' (Work Time B). The close read-aloud guide (referenced but not transcribed) structures this practice. The learning target is a student-directed imperative under the Directive/Elicitation Exception, and the lesson's focus on key details confirms students refer to parts of the text to support their answers → full.","Refer to parts of texts when supporting an idea, answer, or opinion. (I)",claude-sonnet-4-5,align_judge.assembled.batch.v1,False,False,evidence quote found in lesson raw text,scored on provided lesson text; likely understated pending the Read-aloud Guides.
G1M2U1L3,1.P.EICC.1.e,partial,66,False,,high,True,"As needed, remind them to move safely and make space for everyone.","The resource partially meets 1.P.EICC.1.e. The ""discuss texts"" clause is met: students engage in total participation techniques and turn-and-talk discussions about the read-aloud texts, e.g., ""'What is the setting of a story?' (when and where a story takes place)"" and ""'What are some hand gestures, motions, or actions that could go along with these nouns and verbs in the song?'"" The ""develop group norms"" clause is only partially met — students are reminded of norms (""move safely and make space for everyone"") and follow established routines (thumbs-up readiness, cleanup signals), but they do not actively develop or co-create norms. The remaining four clauses — share individual writing, listen as others share writing, offer feedback, and respond to feedback — are not met. Students complete a response sheet independently, but it is collected by the teacher with no sharing, listening, or feedback cycle.","Participate in a community of readers and writers by developing group norms, discussing texts, sharing individual writing, listening as others share their writing, and offering and responding to feedback. (I/C)",claude-opus-4-6,align_judge.assembled.v1,True,False,evidence quote found in lesson raw text,
G1M2U1L3,1.P.CP.2.d,partial,68,False,,high,True,'What is the setting of a story?' (when and where a story takes place),"The answer clause is met: students answer multiple teacher-posed questions throughout the lesson in whole-group and partner dialogue, e.g., ""'What is the setting of a story?' (when and where a story takes place)"" and ""'Who is the main character?' (the boy)."" The engage-in-dialogue clause is met through these same turn-and-talk and total-participation exchanges. However, the ask clause is not met: at no point does the resource have students generate their own questions. The learning target states ""I can ask and answer questions,"" but every scripted question is posed by the teacher, and no activity directs students to formulate or pose a question themselves. The alignment is partial because the ask clause is unmet.",Engage in dialogue with audiences by asking and answering questions. (I/C),claude-opus-4-6,align_judge.assembled.v1,True,False,evidence quote found in lesson raw text,scored on provided lesson text; likely understated pending the Read-aloud Guides.
