source_code,target_code,confidence,justification
L.1.1b,1.L.GC.1.9,high,GA: 'Use common and proper nouns' = CCSS L.1.1b (GA omits 'possessive'; closest available leaf).
L.1.1c,1.L.GC.2.c,high,GA: 'Use singular and plural subjects with matching verbs' = CCSS L.1.1c verbatim.
L.1.1d,1.L.GC.1.15,high,"GA: 'Use personal pronouns (subject, object, possessive)' = CCSS L.1.1d's personal/possessive pronoun coverage."
L.1.1e,1.L.GC.1.6,high,"GA: 'Form and use verbs by adding -ing, -ed, or -s' = CCSS L.1.1e's regular verb tense forms."
L.1.1e,1.L.GC.1.10,high,GA: 'Form and use the simple verb tenses' = CCSS L.1.1e's general tense target.
L.1.1e,1.L.GC.1.20,high,GA: 'Form and use the past tense of irregular verbs' = CCSS L.1.1e's irregular-verb tense coverage.
L.1.2a,1.L.GC.1.12,high,GA: 'Capitalize proper nouns' = CCSS L.1.2a (GA generalizes 'dates/names' to 'proper nouns').
L.1.4a,1.L.V.3.a,high,GA: 'Use context...to determine or clarify the meaning of unknown...words' = CCSS L.1.4a verbatim.
L.1.6,1.L.V.1.a,high,GA: 'Acquire and apply...vocabulary...through grade-level texts' = CCSS L.1.6's acquisition-through-reading target.
L.1.6,1.L.V.1.b,high,GA: 'Use grade-level...vocabulary...to communicate' = CCSS L.1.6's application/communication target.
L.1.6,1.L.V.3.e,high,GA: 'Use knowledge of word relationships...when making word choices' = CCSS L.1.6's relational-word-knowledge target.
RL.1.2,1.T.T.1.c,high,"GA: 'Describe traits of main characters...central message, lesson, or moral' = CCSS RL.1.2 verbatim."
RL.1.3,1.T.T.1.a,high,"GA: 'Identify techniques...characters, setting, major events, dialogue' = CCSS RL.1.3 verbatim."
RL.1.4,1.T.SS.2.a,high,GA: 'Identify and explain the use of descriptive words in texts' = CCSS RL.1.4 (feelings/sensory words).
RL.1.7,1.T.SS.1.b,high,"GA: 'Use text features (e.g., illustrations...) to add clarity and meaning' -- the only GA standard mentioning illustrations; = CCSS RL.1.7 verbatim."
SL.1.1,1.P.CP.1.d,high,GA: 'Work with others to discuss topics...' = CCSS SL.1.1's collaborative-conversation target.
SL.1.1a,1.P.CP.1.b,high,"GA: 'Collaborate...to determine group norms, establish goals and procedures' = CCSS SL.1.1a's discussion-rules target."
SL.1.2,1.P.CP.2.d,high,GA: 'Engage in dialogue with audiences by asking and answering questions' = CCSS SL.1.2 verbatim.
W.1.8,1.P.EICC.4.c,high,"GA (Writing domain): 'Generate ideas for content by assessing prior knowledge, gathering information from texts...' = CCSS W.1.8's own Writing-strand wording."
