Lesson,Lesson ID,Standard,Alignment,Confidence,Evidence from the lesson,Page,Why this alignment,Standard text
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.T.T.4.a,None,High,,,"Students look and listen for high-quality writing in the poem and discuss what they noticed, but they do not identify or describe specific poetic techniques such as rhyme, alliteration, or repeated lines. The focus is on general high-quality writing features, not the specific techniques required by this standard.","Identify and describe poetic techniques used to craft texts, including rhyme, alliteration, and repeated lines. (I)"
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.T.T.1.e,Partial,Medium,Explain that the closing is a sentence to end the poem. It should tell the reader that night is coming to an end.,389,"Students independently write verse 3 and a closing for a narrative poem (""What the Moon Sees""), demonstrating use of settings, events, imagined experiences, and closure. However, there is no clear evidence that students use knowledge of characters as a narrative technique in their writing. Since the standard lists characters, settings, and events as complementary story-craft components, the missing character element makes this partial rather than full.","Use knowledge of narrative techniques (e.g., characters, settings, events) to create texts that share real or imagined experiences and events with a sense of closure. (C)"
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.T.T.4.b,Full,High,Tell students that now they will write their own version of verse 3 and the closing independently on the 'What the Moon Sees' poem verse 3.,390,"Students use poetic techniques from the model 'What the Moon Sees' poem to create their own verse 3 using simple words and phrases. The standard allows for poems that may or may not rhyme, and all clauses are met through the independent writing activity.",Use poetic techniques to create poems using simple words and/or phrases that may or may not rhyme. (C)
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.P.CP.2.e,None,High,,,"The teacher reads the poem aloud to students, but students do not recite the poem or any speeches themselves. Teacher read-aloud does not meet the student act of reciting.",Build background knowledge by reciting all or part of significant poems and speeches as appropriate by grade level. (I/C)
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.T.SS.2.b,Full,High,"As students write, circulate and provide guidance by referring students to look at verses 1 and 2, the Time of Night anchor chart, the Adjectives anchor chart, the Sun, Moon, and Stars Word Wall, etc.",390,"Students use descriptive words (adjectives) from anchor charts to craft their poem verse 3, making their writing engaging. Both clauses are met through the planning and writing activities.",Use descriptive words to craft engaging texts. (C)
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.P.EICC.4.e,Full,High,Tell students that now they will write their own version of verse 3 and the closing independently on the 'What the Moon Sees' poem verse 3.,390,"Students construct an initial draft of verse 3 by integrating ideas from their planner, selecting words and phrases from anchor charts, incorporating poetic craft techniques from the model, and creating a poem with a specific purpose (narrative poem about what the moon sees) and closure. All clauses are met.","Construct an initial draft by integrating ideas and information; selecting words, phrases, and sentences; and incorporating craft techniques that will best achieve the purpose of the text and resonate with the target audience. (C)"
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.P.AC.2.b,None,High,,,"This standard requires crafting words and phrases to influence the audience's responses, thoughts, decisions, and questions. Students are writing a narrative poem to share imagined experiences, not to influence or persuade the audience. The purpose does not align with this standard.","Craft words and phrases in order to influence the responses, thoughts, decisions, and questions of the target audience and achieve a specific purpose. (I/C)"
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.T.T.3.a,None,High,,,"This standard requires identifying techniques in opinion texts. The lesson focuses on a narrative poem, not opinion texts. There is no work with author's opinion or supporting reasons.","Identify techniques used to craft opinion texts, including the author’s opinion and supporting reasons. (I)"
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.L.GC.2.b,Full,High,"Give students specific, positive feedback on their ability to turn their ideas from the verse planner into complete sentences on the 'What the Moon Sees' poem verse 3.",391,"Students write verse 3 using complete sentences, turning their planner ideas into clear written text. The feedback confirms they are using simple sentences to develop clarity in their writing.",Use a variety of simple sentences (including a variety of sentence types) to develop clarity in written texts. (C)
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.P.EICC.1.d,Full,High,"As students write, circulate and provide guidance by referring students to look at verses 1 and 2, the Time of Night anchor chart, the Adjectives anchor chart, the Sun, Moon, and Stars Word Wall, etc.",390,"Students build and draw from comprehension skills (analyzing high-quality writing in the model poem) and composition skills (using planners, anchor charts, and model verses) to interpret the model text and construct their own verse 3. All clauses are met.","Build a repertoire of comprehension and composition skills, strategies, and techniques, drawing from them as needed to aid the interpretation and construction of texts. (I/C)"
