code	pages	min	declared_standards	title
G1M2U1L1	39-50	60	W.1.8,SL.1.1,SL.1.1a,SL.1.2	Lesson 1: Noticing and Wondering: Observing and Asking Questions about the Sun, Moon, and Stars
G1M2U1L2	51-60	60	RL.1.1,SL.1.2,W.1.8	Lesson 2: Reading and Speaking and Listening: Why Do Authors Write Stories about the Sun and Moon?
G1M2U1L3	61-71	60	RL.1.1,RL.1.2,RL.1.3,RL.1.4,RL.1.7,W.1.8,SL.1.2,L.1.1,L.1.1c,L.1.4,L.1.4a	Lesson 3: Close Read-aloud, Session 1: Summer Sun Risin'
G1M2U1L4	72-82	60	RL.1.2,RL.1.3,RL.1.4,RL.1.7,W.1.8,SL.1.1,SL.1.2,L.1.4a	Lesson 4: Close Read-aloud, Session 2 and Role-Playing: Summer Sun Risin'
G1M2U1L5	83-93	60	RL.1.1,RL.1.2,RL.1.3,RL.1.7,W.1.8,SL.1.1,SL.1.2,L.1.1,L.1.1c,L.1.1d,L.1.4,L.1.4a	Lesson 5: Close Read-aloud, Session 3 and Role-Playing: Summer Sun Risin'
G1M2U1L6	94-103	60	RL.1.1,RL.1.2,RL.1.3,RL.1.4,RL.1.7,W.1.8,SL.1.1,SL.1.2,L.1.4a	Lesson 6: Close Read-aloud, Session 4 and Role-Playing: Summer Sun Risin'
G1M2U1L7	104-111	60	RL.1.1,RL.1.2,RL.1.3,RL.1.4,RL.1.7,W.1.8,SL.1.1,SL.1.2,L.1.1,L.1.1c,L.1.1d,L.1.4,L.1.4a	Lesson 7: Close Read-aloud Culminating Task and Reflecting on Guiding Question
G1M2U1L8	112-124	60	RL.1.1,RL.1.2,RL.1.3,RL.1.7,W.1.8,SL.1.1,SL.1.2,L.1.1,L.1.1b,L.1.1e,L.1.2a,L.1.6	Lesson 8: Focused Read-aloud and Retelling, Session 1: Papa, Please Get the Moon for Me
G1M2U1L9	125-135	60	RL.1.1,RL.1.2,RL.1.3,RL.1.7,W.1.8,SL.1.1,SL.1.2,L.1.1,L.1.1e,L.1.6	Lesson 9: Focused Read-aloud and Retelling, Session 2: Papa, Please Get the Moon for Me
G1M2U1L10	136-145	60	RL.1.1,RL.1.2,RL.1.3,RL.1.7,W.1.8,SL.1.1,SL.1.2,L.1.6	Lesson 10: Focused Read-aloud and Retelling, Session 1: Sun and Moon
G1M2U1L11	146-155	60	RL.1.1,RL.1.2,RL.1.3,RL.1.7,W.1.8,SL.1.1,SL.1.2,L.1.6	Lesson 11: Focused Read-aloud and Retelling, Session 2: Sun and Moon
G1M2U1L12	156-165	60	RL.1.1,RL.1.2,RL.1.3,RL.1.7,W.1.8,SL.1.1,SL.1.2,L.1.1,L.1.1e,L.1.6	Lesson 12: Focused Read-aloud and Retelling, Session 1: Why the Sun and the Moon Live in the Sky
G1M2U1L13	166-174	60	RL.1.1,RL.1.2,RL.1.3,RL.1.7,W.1.8,SL.1.1,SL.1.2,L.1.6	Lesson 13: Focused Read-aloud and Retelling, Session 2: Why the Sun and the Moon Live in the Sky
G1M2U1L14	175-183	60	RL.1.1,RL.1.2,RL.1.3,RL.1.7,W.1.8,SL.1.2,L.1.6	Lesson 14: Unit 1 Assessment, Part I: Reading and Answering Questions about Kitten's First Full Moon
G1M2U1L15	184-192	60	RL.1.2,RL.1.3,RL.1.7,W.1.8,SL.1.2,L.1.6	Lesson 15: Unit 1 Assessment, Part II: Reading and Answering Questions about Kitten's First Full Moon
G1M2U2L1	205-216	60	RL.1.5,RI.1.1,W.1.8,SL.1.2,L.1.1,L.1.1j	Lesson 1: Noticing and Wondering: Observing and Asking Questions about the Sun, Moon, and Stars
G1M2U2L2	217-227	60	RL.1.5,RI.1.1,RI.1.2,RI.1.4,RI.1.7,W.1.8,SL.1.1a,L.1.1,L.1.1f,L.1.5,L.1.5c,L.1.6	Lesson 2: Close Read-aloud, Session 1: What Makes Day and Night
G1M2U2L3	228-238	60	RI.1.1,RI.1.2,RI.1.4,RI.1.6,RI.1.7,W.1.8,SL.1.1a,L.1.1f,L.1.5,L.1.5c,L.1.6	Lesson 3: Close Read-aloud, Session 2: What Makes Day and Night
