lesson,action,standard_code,new_rank,ccss_target,justification
G1M2U1L10,added,1.T.SS.1.b,6,RL.1.7,"GA: 'Use text features (e.g., illustrations...) to add clarity and meaning' = CCSS RL.1.7/RI.1.6/RI.1.7's illustration-based meaning-making."
G1M2U1L10,added,1.T.RA.1.b,7,W.1.8,GA: 'Work...to conduct research...by gathering and organizing information from provided sources' = CCSS W.1.8's gather-information-to-answer-a-question target.
G1M2U1L10,dropped,1.T.SS.2.a,,,lowest-confidence row(s) removed to hold list at 50 (was rank 49)
G1M2U1L10,dropped,1.L.V.3.c,,,lowest-confidence row(s) removed to hold list at 50 (was rank 50)
G1M2U1L11,added,1.L.V.1.a,6,L.1.6,GA: 'Acquire and apply...vocabulary...through grade-level texts' = CCSS L.1.6's acquisition-through-reading target.
G1M2U1L11,added,1.L.V.1.b,7,L.1.6,GA: 'Use grade-level...vocabulary...to communicate' = CCSS L.1.6's application/communication target.
G1M2U1L11,added,1.L.V.3.e,8,L.1.6,GA: 'Use knowledge of word relationships...when making word choices in speaking and writing' = CCSS L.1.6's relational-word-knowledge target.
G1M2U1L11,added,1.T.RA.1.b,9,W.1.8,GA: 'Work...to conduct research...by gathering and organizing information from provided sources' = CCSS W.1.8's gather-information-to-answer-a-question target.
G1M2U1L11,dropped,1.P.EICC.2.e,,,lowest-confidence row(s) removed to hold list at 50 (was rank 47)
G1M2U1L11,dropped,1.P.EICC.1.c,,,lowest-confidence row(s) removed to hold list at 50 (was rank 48)
G1M2U1L11,dropped,1.P.AC.3.d,,,lowest-confidence row(s) removed to hold list at 50 (was rank 49)
G1M2U1L11,dropped,1.P.EICC.1.b,,,lowest-confidence row(s) removed to hold list at 50 (was rank 50)
G1M2U1L12,added,1.L.V.1.b,6,L.1.6,GA: 'Use grade-level...vocabulary...to communicate' = CCSS L.1.6's application/communication target.
G1M2U1L12,added,1.L.V.3.e,7,L.1.6,GA: 'Use knowledge of word relationships...when making word choices in speaking and writing' = CCSS L.1.6's relational-word-knowledge target.
G1M2U1L12,added,1.T.SS.1.b,8,RL.1.7,"GA: 'Use text features (e.g., illustrations...) to add clarity and meaning' = CCSS RL.1.7/RI.1.6/RI.1.7's illustration-based meaning-making."
G1M2U1L12,added,1.T.RA.1.b,9,W.1.8,GA: 'Work...to conduct research...by gathering and organizing information from provided sources' = CCSS W.1.8's gather-information-to-answer-a-question target.
G1M2U1L12,dropped,1.P.EICC.2.d,,,lowest-confidence row(s) removed to hold list at 50 (was rank 47)
G1M2U1L12,dropped,1.P.AC.2.d,,,lowest-confidence row(s) removed to hold list at 50 (was rank 48)
G1M2U1L12,dropped,1.P.AC.3.c,,,lowest-confidence row(s) removed to hold list at 50 (was rank 49)
G1M2U1L12,dropped,1.P.EICC.3.f,,,lowest-confidence row(s) removed to hold list at 50 (was rank 50)
G1M2U1L13,added,1.L.V.3.e,6,L.1.6,GA: 'Use knowledge of word relationships...when making word choices in speaking and writing' = CCSS L.1.6's relational-word-knowledge target.
G1M2U1L13,added,1.T.RA.1.b,7,W.1.8,GA: 'Work...to conduct research...by gathering and organizing information from provided sources' = CCSS W.1.8's gather-information-to-answer-a-question target.
G1M2U1L13,dropped,1.P.AC.1.b,,,lowest-confidence row(s) removed to hold list at 50 (was rank 49)
G1M2U1L13,dropped,1.P.EICC.1.d,,,lowest-confidence row(s) removed to hold list at 50 (was rank 50)
G1M2U1L14,added,1.L.V.1.a,6,L.1.6,GA: 'Acquire and apply...vocabulary...through grade-level texts' = CCSS L.1.6's acquisition-through-reading target.
G1M2U1L14,added,1.L.V.1.b,7,L.1.6,GA: 'Use grade-level...vocabulary...to communicate' = CCSS L.1.6's application/communication target.
G1M2U1L14,added,1.L.V.3.e,8,L.1.6,GA: 'Use knowledge of word relationships...when making word choices in speaking and writing' = CCSS L.1.6's relational-word-knowledge target.
G1M2U1L14,added,1.T.SS.1.b,9,RL.1.7,"GA: 'Use text features (e.g., illustrations...) to add clarity and meaning' = CCSS RL.1.7/RI.1.6/RI.1.7's illustration-based meaning-making."
G1M2U1L14,added,1.T.RA.1.b,10,W.1.8,GA: 'Work...to conduct research...by gathering and organizing information from provided sources' = CCSS W.1.8's gather-information-to-answer-a-question target.
G1M2U1L14,dropped,1.P.AC.2.d,,,lowest-confidence row(s) removed to hold list at 50 (was rank 46)
G1M2U1L14,dropped,1.T.C.1.c,,,lowest-confidence row(s) removed to hold list at 50 (was rank 47)
G1M2U1L14,dropped,1.P.AC.3.d,,,lowest-confidence row(s) removed to hold list at 50 (was rank 48)
G1M2U1L14,dropped,1.P.AC.3.c,,,lowest-confidence row(s) removed to hold list at 50 (was rank 49)
G1M2U1L14,dropped,1.P.EICC.1.d,,,lowest-confidence row(s) removed to hold list at 50 (was rank 50)
G1M2U1L15,added,1.L.V.1.a,6,L.1.6,GA: 'Acquire and apply...vocabulary...through grade-level texts' = CCSS L.1.6's acquisition-through-reading target.
G1M2U1L15,added,1.L.V.1.b,7,L.1.6,GA: 'Use grade-level...vocabulary...to communicate' = CCSS L.1.6's application/communication target.
G1M2U1L15,added,1.L.V.3.e,8,L.1.6,GA: 'Use knowledge of word relationships...when making word choices in speaking and writing' = CCSS L.1.6's relational-word-knowledge target.
G1M2U1L15,added,1.T.SS.1.b,9,RL.1.7,"GA: 'Use text features (e.g., illustrations...) to add clarity and meaning' = CCSS RL.1.7/RI.1.6/RI.1.7's illustration-based meaning-making."
G1M2U1L15,dropped,1.T.C.1.c,,,lowest-confidence row(s) removed to hold list at 50 (was rank 47)
G1M2U1L15,dropped,1.F.H.2.b,,,lowest-confidence row(s) removed to hold list at 50 (was rank 48)
G1M2U1L15,dropped,1.P.AC.1.b,,,lowest-confidence row(s) removed to hold list at 50 (was rank 49)
G1M2U1L15,dropped,1.P.EICC.2.e,,,lowest-confidence row(s) removed to hold list at 50 (was rank 50)
G1M2U1L1,added,1.T.RA.1.b,6,W.1.8,GA: 'Work...to conduct research...by gathering and organizing information from provided sources' = CCSS W.1.8's gather-information-to-answer-a-question target.
G1M2U1L1,dropped,1.T.T.2.b,,,lowest-confidence row(s) removed to hold list at 50 (was rank 50)
G1M2U1L2,added,1.T.RA.1.b,6,W.1.8,GA: 'Work...to conduct research...by gathering and organizing information from provided sources' = CCSS W.1.8's gather-information-to-answer-a-question target.
G1M2U1L2,dropped,1.P.AC.3.c,,,lowest-confidence row(s) removed to hold list at 50 (was rank 50)
G1M2U1L3,added,1.L.V.3.a,6,L.1.4a,GA: 'Use context...to determine or clarify the meaning of unknown...words' = CCSS L.1.4a / RI.1.4 verbatim.
G1M2U1L3,added,1.T.SS.1.b,7,RL.1.7,"GA: 'Use text features (e.g., illustrations...) to add clarity and meaning' = CCSS RL.1.7/RI.1.6/RI.1.7's illustration-based meaning-making."
G1M2U1L3,added,1.T.RA.1.b,8,W.1.8,GA: 'Work...to conduct research...by gathering and organizing information from provided sources' = CCSS W.1.8's gather-information-to-answer-a-question target.
G1M2U1L3,dropped,1.P.AC.3.c,,,lowest-confidence row(s) removed to hold list at 50 (was rank 48)
G1M2U1L3,dropped,1.P.EICC.4.a,,,lowest-confidence row(s) removed to hold list at 50 (was rank 49)
G1M2U1L3,dropped,1.P.EICC.1.e,,,lowest-confidence row(s) removed to hold list at 50 (was rank 50)
G1M2U1L4,added,1.T.SS.2.a,6,RL.1.4,GA: 'Identify and explain the use of descriptive words in texts' = CCSS RL.1.4 (feelings/sensory words).
