resource_id,standard_code,matched_status,confidence,grounded,evidence,evidence_page,rationale,standard_raw_text,judge_model,prompt_version,escalated,rerank_score,rrf_score,dense_score,bm25_score,dense_rank,bm25_rank,grounding_note
G1M2U1L1,1.P.EICC.2.c,full,high,True,"Invite students to use the response sheet to capture the things they noticed and wondered about the sun, moon, and stars. Tell them that they can use pictures and words to show what they notice and what they wonder. As students write and draw, circulate to offer support. Prompt students by referencing the mystery sky photos and asking students to articulate what they shared with their partners during the Picture Tea Party protocol or the Back-to-Back and Face-to-Face protocol. Remind students that they can draw and write to show what they notice and wonder.",48,"Students interpret texts (story, photos, videos) to learn and explain concepts about the sun, moon, and stars, and construct their own texts (written/drawn responses) to demonstrate understanding.",Explain and learn concepts and processes by interpreting and constructing texts. (I/C),gpt-4.1,align_judge.batch.v1,False,0.9957563281059265,0.015625,0.5733429,,4,,evidence quote found in lesson raw text
G1M2U1L1,1.P.EICC.3.d,full,high,True,"After reading and discussing 'Elvin, the Boy Who Loved the Sky,' support comprehension and provide options for expression by inviting three students to each illustrate one of the paragraphs in the story. Display the story with illustrations in an accessible place for students to refer to throughout the unit during subsequent readings.",43,"Students summarize and visualize sections of the text by discussing and illustrating paragraphs, directly supporting both clauses of the standard.",Summarize and visualize sections of the text to maintain understanding. (I),gpt-4.1,align_judge.batch.v1,False,0.9946310520172119,0.02664576802507837,0.57206833,79.02049263687711,6,27,evidence quote found in lesson raw text
G1M2U1L1,1.T.RA.2,full,high,True,"Draw students' attention back to the text and read aloud the second paragraph. Using a total participation technique, invite responses from the group: 'What does Elvin observe about the sun?' ... 'What does Elvin wonder about the sun?' ... Draw students' attention back to the text and read aloud the third paragraph. Ask: 'What does Elvin observe about the moon?' ... 'What does Elvin wonder about the moon?' ... Draw students' attention back to the text and read the final paragraph. Display a selection of the mystery sky photos and tell students that they are each going to get a chance to look closely at one of the photos that the photographer gave to Elvin.",43,"Students reference specific parts of a read-aloud to answer questions and also explore multiple sources (story, photos, videos) through guided discussion and protocols.",Reference parts of texts to address a specific topic or question and explore various sources of information to make connections across a broad range of topics.,gpt-5,align_judge.v1.1,True,0.9942271709442139,0.023037203760095326,0.54429394,76.08231681568276,23,31,evidence quote found in lesson raw text
G1M2U1L1,1.P.EICC.3,partial,medium,True,"- Using a total participation technique, invite responses from the group:
- 'Based on the title of the story, what do you think this story will be about?' (a little boy who likes things in the sky; a little boy who likes the clouds; a little boy who likes to look at the sky)
- Say:
- 'As I read this story, I want you to think hard about all of the things Elvin wonders about and all of the questions he has.'",43,"Students engage with a read-aloud and visual texts using comprehension strategies such as setting a purpose (prompted) and making predictions, and they connect to prior knowledge. However, they do not practice monitoring/adjusting strategies, skimming/scanning, inference, or deriving word meanings, so only some clauses are met.","Engage with a range of complex texts for a variety of tasks and purposes, accessing and using strategies for comprehension before, during, and after reading as part of the meaning-making process.
Comprehension strategies are tools that students should develop throughout their K-12 education as they work to interpret increasingly complex texts. The effectiveness of these strategies depends largely on the texts themselves, the reasons students engage with them, and the preferences and knowledge bases of individual students. For these reasons, students should receive instruction in a variety of comprehension strategies. Students should learn to select and apply strategies flexibly in order to make sense of the text and accomplish their goals.",gpt-5,align_judge.v1.1,True,0.9940656423568726,0.023252688172043012,0.54953635,73.77411358250629,20,33,evidence quote found in lesson raw text
G1M2U1L1,1.P.EICC.2.d,partial,high,True,"Tell students there are a few videos of the sky, sun, moon, and stars to see, and that as they watch the videos they should look carefully to see what they notice about the sky and what they observe about the sun, the moon, and the stars in the sky in each of the videos. Tell students they should also think about the questions they have as they watch the videos. ... Guide students through the protocol using the following question and sentence frame: -'What is one thing you noticed about the sun in the video?' -'I noticed that the sun __________.'",47,"Students interpret multimedia texts to discuss observations and questions (analysis), but their writing/drawing records noticing/wondering rather than evaluating ideas; no evaluation task is present.",Interpret and construct texts to aid the analysis and evaluation of texts and ideas. (I/C),gpt-5,align_judge.v1.1,True,0.993811845779419,0.02292152292152292,0.55164236,69.06094625354685,18,39,evidence quote found in lesson raw text
G1M2U1L1,1.T.T.2,none,high,True,,,"The lesson does not address expository text structure or techniques, nor do students identify or use them.",Identify and use expository techniques to shape understanding.,gpt-4.1,align_judge.batch.v1,False,0.9933556318283081,0.023859649122807018,0.55493176,71.95320469055825,15,35,no evidence required for none
G1M2U1L1,1.T.T.1,none,high,True,,,"The lesson centers on observing and asking questions about the sun, moon, and stars. Students neither analyze narrative elements (characters, setting, plot) nor produce narrative writing.",Identify and use narrative techniques to shape understanding.,gpt-5,align_judge.v1.1,True,0.9932605624198914,0.02854251012145749,0.5730119,86.21737371144506,5,16,no evidence required for none
G1M2U1L1,1.P.EICC.2.b,full,high,True,"Tell students that now that they have shared what they noticed and wondered about the sun, moon, and stars with their classmates, they are going to write down and draw what they notice and wonder.
Direct students' attention to the Noticing and Wondering response sheet, pencils, and crayons already at their workspace.
Invite students to use the response sheet to capture the things they noticed and wondered about the sun, moon, and stars. Tell them that they can use pictures and words to show what they notice and what they wonder.",48,"Students use texts (story, photos, videos) to build knowledge, develop observation/questioning skills, and share information and ideas through discussion and writing/drawing.","Make use of texts to build knowledge, develop skills, make informed decisions, and share information and ideas. (I/C)",gpt-4.1,align_judge.batch.v1,False,0.9931749701499939,0.023796791443850267,0.5689464,62.06458589911268,8,50,evidence quote found in lesson raw text
G1M2U1L1,1.T.C.2,none,high,True,,,The lesson does not address identifying the speaker or narrator in the text.,Investigate the relationships between authors and speakers in texts.,gpt-4.1,align_judge.batch.v1,False,0.9929298758506775,0.021061869240895127,0.5171565,79.18810832991974,46,26,no evidence required for none
G1M2U1L1,1.T.RA.1,none,high,True,,,"Students ask questions, but do not conduct research using multiple sources or share research-based information as required by the standard.","Build knowledge about the world by asking or generating questions about topics of interest, researching the answers, using multiple sources, and communicating relevant and accurate information about the topic.",gpt-4.1,align_judge.batch.v1,False,0.9923183917999268,0.03036576949620428,0.56566167,141.25335217663732,9,3,no evidence required for none
G1M2U1L10,1.T.C.2.a,none,high,True,,,"The lesson focuses on characters and setting, not on identifying the narrator or who is telling the story.",Identify who is speaking or telling the story at various points in a text. (I),gpt-4.1,align_judge.batch.v1,False,0.9966135621070862,0.01994047619047619,0.5036238,62.11206133345006,45,36,no evidence required for none
G1M2U1L10,1.T.C.2,none,high,True,,,Students do not investigate the relationship between author and speaker or identify the speaker at any point.,Investigate the relationships between authors and speakers in texts.,gpt-4.1,align_judge.batch.v1,False,0.9939804077148438,0.027051561365286855,0.5363983,95.83182316010515,21,8,no evidence required for none
